gender,Female,height,160
count,timestamp,x,y,z
0,1700051586962,0.9888053,6.564901,5.1116204
1,1700051587026,0.78769237,6.493075,4.984728
2,1700051587027,0.007182605,7.8529816,6.349423
3,1700051587027,-1.0366893,7.735666,7.1945763
4,1700051587028,-0.44771573,6.955156,6.9024835
5,1700051587056,-0.10534488,6.9144545,6.3422403
6,1700051587076,-0.4141969,7.165846,6.05733
7,1700051587094,-1.0486604,7.6853876,6.0142345
8,1700051587114,-1.0989386,8.056489,5.911284
9,1700051587134,-0.46926352,7.4268136,6.0836663
10,1700051587158,-0.260968,7.228095,6.5218053
11,1700051587177,-0.46686932,7.0940194,6.612785
12,1700051587194,-0.7350199,7.228095,6.3709707
13,1700051587210,-0.8738836,7.6375036,6.3925185
14,1700051587227,-0.7158663,7.5345526,6.3566055
15,1700051587246,-0.4309563,7.1490865,6.244078
16,1700051587266,-0.47165772,7.216124,6.2584434
17,1700051587294,-0.8619126,7.441179,6.1387334
18,1700051587309,-0.8738836,7.5968018,6.066907
19,1700051587327,-0.48123455,7.4387846,6.0836663
20,1700051587346,-0.22984336,6.9982514,6.3566055
21,1700051587374,-0.16759412,7.0724716,6.6486983
22,1700051587403,-0.1436521,7.1059904,6.5864487
23,1700051587409,-0.05267244,7.153875,6.4068837
24,1700051587427,-0.16998832,7.2304893,6.172252
25,1700051587445,0.10055647,7.0964136,5.985504
26,1700051587466,0.33039984,6.7444663,6.26802
27,1700051587491,0.3878607,6.3589997,6.9264255
28,1700051587510,0.29209262,6.5265937,7.1371155
29,1700051587531,-0.08379706,6.8186865,7.129933
30,1700051587547,-0.107739076,6.646304,7.005434
31,1700051587572,-0.062249243,6.6079965,7.687782
32,1700051587593,-0.06943185,6.658275,7.6494746
33,1700051587610,-0.5434838,8.145074,5.9184666
34,1700051587628,0.093373865,7.599196,6.3925185
35,1700051587650,-0.23702596,5.889736,6.955156
36,1700051587673,-0.088585466,5.9424086,7.225701
37,1700051587694,-0.15801731,5.9424086,7.9966335
38,1700051587711,-0.2753332,5.7628436,8.207323
39,1700051587729,-0.33997664,5.6120086,8.178593
40,1700051587758,-0.110133275,5.267244,8.367735
41,1700051587785,0.107739076,5.070919,8.678981
42,1700051587806,-0.009576807,5.1475334,8.492233
43,1700051587807,-0.011971008,5.092467,8.073248
44,1700051587826,0.090979666,5.106832,7.9032598
45,1700051587845,0.1412579,5.2744265,8.322245
46,1700051587867,0.24899697,5.104438,8.456321
47,1700051587896,0.17238252,4.5753193,8.468291
48,1700051587912,0.34715924,4.6016555,8.508993
49,1700051587929,0.36631286,4.8386817,8.391677
50,1700051587945,0.4165911,4.9320555,8.367735
51,1700051587973,0.3878607,4.7668557,8.439561
52,1700051587995,0.30166942,4.3239284,8.329428
53,1700051588004,0.2681506,3.8283286,8.379706
54,1700051588028,0.6943185,4.3622355,8.552089
55,1700051588043,1.1300632,3.9073372,8.937555
56,1700051588067,1.472434,3.2848446,9.196129
57,1700051588096,1.7860745,2.4756045,8.678981
58,1700051588111,2.5450363,1.6879122,9.469068
59,1700051588135,1.4293385,1.922544,9.938332
60,1700051588143,1.0869676,2.3989902,9.7803135
61,1700051588166,1.9776106,1.7405846,9.832987
62,1700051588195,1.3623008,1.0295067,8.985439
63,1700051588211,1.1971009,0.93373865,9.172187
64,1700051588229,2.873042,0.36870706,9.78989
65,1700051588246,1.8291701,-0.047884032,9.900024
66,1700051588270,1.4101849,0.22266077,9.6845455
67,1700051588294,1.541866,-0.055066638,10.481815
68,1700051588312,1.934515,-0.48602295,9.947908
69,1700051588329,2.0207062,-0.50278234,8.724471
70,1700051588350,2.1428106,-0.60812724,8.202535
71,1700051588371,2.6839,-1.5179238,9.512163
72,1700051588401,2.5091233,-1.6065093,9.9790325
73,1700051588426,2.1021092,-1.5849615,9.32781
74,1700051588427,2.2529438,-1.8387469,9.078813
75,1700051588448,1.9895816,-2.1643584,8.899248
76,1700051588472,-0.45489833,-2.9257145,7.043741
77,1700051588488,2.645593,-3.9695864,8.6334915
78,1700051588511,3.70383,-3.265691,8.9279785
79,1700051588529,3.7900212,-3.4141316,8.468291
80,1700051588545,4.1156325,-3.4596214,8.238448
81,1700051588565,4.462792,-3.7541082,7.6255326
82,1700051588593,4.6399627,-3.4835634,7.9272017
83,1700051588612,4.537012,-3.8259344,7.953538
84,1700051588628,5.327099,-3.7612908,8.171411
85,1700051588645,4.2185836,-4.1036615,8.279149
86,1700051588664,2.255338,-2.896984,7.9607205
87,1700051588692,5.0781016,-3.9743748,9.68694
88,1700051588711,3.5410242,-3.2082303,10.96305
89,1700051588729,3.3806129,-2.767697,10.656591
90,1700051588745,2.7365725,-1.6783354,9.303867
91,1700051588773,2.219425,-0.9959879,9.866506
92,1700051588794,2.1380222,-0.36870706,11.47062
93,1700051588812,1.8914193,-0.30166942,11.549629
94,1700051588829,1.7357962,1.2617443,10.390836
95,1700051588845,2.528277,1.553837,8.693346
96,1700051588866,2.6312277,1.769315,7.7691846
97,1700051588891,2.1452048,3.2489316,7.8027034
98,1700051588911,1.0031705,5.0996494,6.495469
99,1700051588923,0.7302315,6.0238113,5.2385135
100,1700051588948,1.043872,6.1890116,4.0821137
101,1700051588964,1.0749966,6.754043,4.7740383
102,1700051588990,0.25378537,8.441956,4.220978
103,1700051589013,-0.91697925,8.90643,3.5745432
104,1700051589031,-0.78050977,8.90643,4.173094
105,1700051589047,-0.7015011,6.6989765,6.143522
106,1700051589070,-0.6823475,5.197812,7.467515
107,1700051589089,-0.79966336,2.8107927,7.4962454
108,1700051589106,-0.36152446,1.7980455,4.9775453
109,1700051589129,1.8555063,-5.6790466,15.112201
110,1700051589146,0.7038953,-3.2800562,18.150444
111,1700051589165,-1.1731589,0.1364695,11.812991
112,1700051589193,0.1604115,-1.5394717,5.3678
113,1700051589213,1.8267759,-4.2760444,6.8426285
114,1700051589229,0.8714894,-6.181829,10.474632
115,1700051589246,1.079785,-5.3486466,12.112267
116,1700051589273,0.9768343,-2.8203697,11.386824
117,1700051589296,1.3239936,-2.1380222,10.09156
118,1700051589313,2.5067291,-3.3638535,10.548853
119,1700051589341,1.6232687,-2.0446482,9.476251
120,1700051589342,0.15322891,-0.46686932,7.7069354
121,1700051589364,0.6943185,2.6288335,8.176199
122,1700051589391,1.2330139,4.6926355,8.355764
123,1700051589415,0.22744916,4.197036,8.23366
124,1700051589421,0.90979666,5.068525,6.179435
125,1700051589456,0.94570965,4.9679685,4.8722005
126,1700051589474,1.3431472,4.156334,7.7452426
127,1700051589481,0.85473,1.6208745,10.9343195
128,1700051589505,0.21547815,0.5386954,11.027693
129,1700051589530,0.5770026,-1.6807296,9.172187
130,1700051589557,1.8986019,-1.2138603,8.851364
131,1700051589563,4.43885,-3.715801,11.125855
132,1700051589584,2.0925324,-2.018312,10.5440645
133,1700051589609,2.2290018,-3.277662,10.939108
134,1700051589641,2.0278888,-4.903325,10.453085
135,1700051589643,2.2840683,-5.106832,9.500193
136,1700051589662,2.4229321,-3.3734303,9.619903
137,1700051589684,2.1811178,-2.6001031,9.560047
138,1700051589704,2.2529438,-2.8083985,9.294291
139,1700051589723,3.2465374,-1.3838485,9.038112
140,1700051589760,1.5011644,-0.50038815,8.14268
141,1700051589765,1.3455414,0.9983821,8.166622
142,1700051589796,1.1994951,2.360683,8.520964
143,1700051589822,1.1851299,3.4261026,8.865729
144,1700051589827,1.055843,3.1962593,8.688558
145,1700051589847,0.9744401,2.4540567,8.133103
146,1700051589866,1.6089035,0.91937345,7.9104424
147,1700051589882,1.0582372,-0.2657564,9.593566
148,1700051589906,0.059855044,-1.7190368,10.965444
149,1700051589930,0.39983168,-2.0374656,11.097125
150,1700051589947,4.537012,-2.9735985,12.373235
151,1700051589964,2.6192567,-0.37588966,9.648633
152,1700051589983,2.6767175,-1.8291701,9.052477
153,1700051590014,2.7485435,-4.5082817,10.81461
154,1700051590031,2.3080103,-5.422867,11.489774
155,1700051590041,1.6543933,-4.7165775,10.900801
156,1700051590064,1.8698715,-2.4779987,10.01734
157,1700051590088,2.4109612,-0.830788,9.531317
158,1700051590115,2.4301147,-0.6344634,8.1642275
159,1700051590131,3.0142999,-0.48602295,7.369353
160,1700051590149,1.2761095,0.842759,7.896077
161,1700051590164,1.6567876,3.169923,9.088389
162,1700051590182,1.1587936,4.2305546,8.3629465
163,1700051590205,0.6703765,4.3287168,7.410054
164,1700051590233,0.79487497,3.4763808,7.675811
165,1700051590252,1.7286136,2.7724855,7.979874
166,1700051590266,2.1380222,2.4468741,10.216059
167,1700051590283,0.18435353,1.6089035,10.702082
168,1700051590306,-0.37110126,0.5506664,10.390836
169,1700051590332,-0.521936,-0.8283938,9.141062
170,1700051590350,2.4588451,-3.655946,11.968615
171,1700051590367,3.9719806,-0.5315128,10.833763
172,1700051590386,0.78050977,0.5410896,10.283096
173,1700051590408,1.2162545,-2.1021092,11.415554
174,1700051590436,0.7086837,-5.1762643,11.841722
175,1700051590455,1.0941502,-5.243302,10.800244
176,1700051590471,1.3359646,-3.5338416,9.229648
177,1700051590489,2.1906946,-1.4772224,8.566454
178,1700051590507,1.9512744,-1.1324574,8.559271
179,1700051590526,2.7341783,-1.0127473,9.093178
180,1700051590547,0.6943185,-0.79248077,8.678981
181,1700051590569,0.770933,0.93613285,8.295909
182,1700051590587,0.16759412,2.2122424,8.446744
183,1700051590607,0.17238252,3.526659,8.525752
184,1700051590622,0.16759412,4.0773253,9.150639
185,1700051590641,-0.35194764,5.257667,10.240001
186,1700051590666,-0.9744401,5.6359506,10.01734
187,1700051590686,-0.6847417,5.056554,8.109161
