gender,Female,height,155
count,timestamp,x,y,z
10932,1700134517664,0.028099801,0.19181168,0.081855945
10933,1700134517665,-0.08674286,-0.11728613,-0.028099801
10934,1700134517666,-0.062308256,-0.02443461,-0.007330383
10935,1700134517692,0.004886922,0.002443461,0.028099801
10936,1700134517696,0.021991149,-0.05009095,0.015882496
10937,1700134517717,0.015882496,-0.018325957,0.008552114
10938,1700134517735,-0.029321533,-0.052534413,0.008552114
10939,1700134517756,-0.002443461,-0.06352998,0.013439035
10940,1700134517775,0.02443461,-0.04153884,0.014660766
10941,1700134517800,0.018325957,-0.05375614,-0.0012217305
10942,1700134517817,-0.018325957,-0.05497787,0.007330383
10943,1700134517837,-0.018325957,-0.061086524,-0.0036651916
10944,1700134517855,0.015882496,-0.04642576,-0.009773844
10945,1700134517877,0.010995574,-0.04520403,-0.002443461
10946,1700134517915,0.0036651916,-0.04153884,0.0012217305
10947,1700134517919,-0.008552114,-0.05131268,-0.0012217305
10948,1700134517937,-0.05009095,-0.021991149,-0.0036651916
10949,1700134517955,-0.039095376,0.017104227,-0.008552114
10950,1700134517976,-0.07086037,-0.0036651916,-0.02687807
10951,1700134518000,-0.17592919,-0.021991149,-0.056199603
10952,1700134518017,-0.27488935,0.009773844,-0.11728613
10953,1700134518037,-0.41172317,0.059864793,-0.1600467
10954,1700134518055,-0.5852089,0.111177474,-0.23090707
10955,1700134518078,-1.0726794,0.21502456,-0.3213151
10956,1700134518100,-1.5601498,0.24556783,-0.42394048
10957,1700134518117,-2.0769417,0.20891592,-0.54733527
10958,1700134518137,-2.5363126,0.27855456,-0.6658431
10959,1700134518154,-2.896723,0.33475417,-0.8356637
10960,1700134518178,-3.0860913,0.19303341,-1.0115929
10961,1700134518200,-3.0921998,-0.012217305,-1.2791518
10962,1700134518217,-3.3609805,0.04520403,-1.486846
10963,1700134518234,-3.5833356,0.3726278,-1.5894713
10964,1700134518255,-3.2986724,0.4447099,-1.6566665
10965,1700134518274,-2.515543,0.37873647,-1.5858061
10966,1700134518297,-1.7702875,0.45814893,-1.536937
10967,1700134518317,-1.6383406,0.54244834,-1.5247196
10968,1700134518334,-1.5100589,0.5216789,-1.518611
10969,1700134518355,-1.3133603,0.5155703,-1.5063937
10970,1700134518373,-1.0616838,0.59498274,-1.459968
10971,1700134518396,-0.74281216,0.68294734,-1.3524556
10972,1700134518417,-0.5045747,0.84421575,-1.1618657
10973,1700134518434,-0.49235737,1.1643091,-0.86620694
10974,1700134518455,-0.64751714,1.3267993,-0.45570546
10975,1700134518473,-0.7367035,1.3390167,-0.16982053
10976,1700134518493,-0.7440339,1.4978416,0.52412236
10977,1700134518517,-0.66706485,1.6517797,1.3475688
10978,1700134518534,-0.5571091,1.704314,2.3054054
10979,1700134518554,-0.15027285,2.0720549,3.7433822
10980,1700134518575,-0.030543262,1.7140878,3.3304374
10981,1700134518596,-0.9798279,2.6988027,5.987701
10982,1700134518618,-1.3048081,3.3927455,6.079331
10983,1700134518639,-1.5992452,3.5906658,7.2277575
10984,1700134518657,-2.460565,3.5149186,7.72378
10985,1700134518678,-2.8930578,2.734233,7.87894
10986,1700134518702,-2.4446826,1.7153096,7.761654
10987,1700134518725,-2.6548204,1.5125023,7.093367
10988,1700134518737,-2.702468,1.1508701,5.7555723
10989,1700134518754,-1.4648548,1.110553,5.4318137
10990,1700134518784,-0.53023106,1.4477507,4.5985937
10991,1700134518801,-0.9859365,1.4721853,3.92542
10992,1700134518822,-0.79045963,1.536937,3.4074063
10993,1700134518838,-0.42271876,1.736079,3.1435125
10994,1700134518858,-0.44837508,1.5503759,2.597399
10995,1700134518873,-0.65240407,1.0409144,2.080607
10996,1700134518894,-0.3848451,0.47036624,1.3255776
10997,1700134518921,-0.41050145,-0.05375614,0.72204274
10998,1700134518938,-0.7831292,-0.52778757,0.11484267
10999,1700134518965,-1.237613,-0.8393288,-0.13316862
11000,1700134518973,-1.2901474,-0.9101892,-0.27122417
11001,1700134518998,-1.128879,-1.1044444,-0.74036866
11002,1700134519018,-0.84788096,-1.4416419,-1.2644911
11003,1700134519036,-1.3475688,-1.8069394,-1.7959439
11004,1700134519067,-2.1978931,-1.9413297,-2.3530529
11005,1700134519073,-2.7256808,-2.0048597,-2.9407053
11006,1700134519097,-3.222925,-1.9291124,-3.6224308
11007,1700134519119,-3.6297612,-1.6872098,-4.5631633
11008,1700134519137,-2.9614747,-2.0329595,-5.661499
11009,1700134519153,-2.4055874,-1.8594738,-6.5570273
11010,1700134519180,-1.627345,-0.62796944,-7.5722857
11011,1700134519204,0.39584067,0.5204572,-8.8587675
11012,1700134519218,2.0011945,1.1337659,-8.912524
11013,1700134519236,1.9596558,2.5668557,-9.555154
