gender,Male,height,170
count,timestamp,x,y,z
0,1700197937063,-5.3127337,-0.36631286,8.801085
1,1700197937119,-3.4691982,0.062249243,8.528147
2,1700197937120,-4.4005427,0.11971009,8.683769
3,1700197937135,-4.675876,0.1364695,8.963891
4,1700197937137,-4.24492,-0.25857377,8.932767
5,1700197937160,-4.405331,-0.12689269,8.746018
6,1700197937178,-4.4316673,-0.031124622,8.796297
7,1700197937204,-4.4699745,0.11252748,8.822633
8,1700197937223,-4.6016555,0.08379706,8.932767
9,1700197937240,-4.510676,0.05267244,8.815451
10,1700197937259,-4.525041,-0.059855044,8.827422
11,1700197937277,-4.4125137,0.050278235,8.865729
12,1700197937299,-4.4196963,0.059855044,8.7053175
13,1700197937323,-4.4005427,0.12689269,8.597578
14,1700197937340,-4.402937,-0.038307227,8.549694
15,1700197937357,-4.4005427,-0.06943185,8.585608
16,1700197937377,-4.4556093,-0.10295067,8.578424
17,1700197937400,-4.3239284,0.007182605,8.552089
18,1700197937423,-4.331111,0.01436521,8.599973
19,1700197937440,-4.4101195,0.031124622,8.62152
20,1700197937457,-4.4819455,-0.15083471,8.662222
21,1700197937476,-4.6351743,-0.14604631,8.76996
22,1700197937496,-4.6926355,0.2801216,8.748413
23,1700197937524,-4.6710877,0.10534488,8.784326
24,1700197937545,-4.7022123,0.10295067,8.662222
25,1700197937557,-4.8219223,0.15562311,8.616732
26,1700197937576,-4.6806645,0.22266077,8.396465
27,1700197937596,-4.4364557,0.24420857,8.190564
28,1700197937617,-4.4580035,0.28491,8.078036
29,1700197937645,-4.5633483,0.20829555,8.24563
30,1700197937662,-4.7860093,-0.01436521,8.281544
31,1700197937675,-4.936844,-0.1412579,8.286332
32,1700197937696,-4.9775453,0.15801731,8.317456
33,1700197937718,-5.104438,0.19871874,8.250419
34,1700197937744,-5.130774,0.15083471,8.303091
35,1700197937761,-5.0134583,-0.28491,8.252813
36,1700197937775,-4.855441,-0.22266077,8.497022
37,1700197937795,-4.709395,-0.25857377,8.671799
38,1700197937824,-4.5872903,-0.1412579,8.683769
39,1700197937842,-4.096479,-0.37588966,8.614338
40,1700197937860,-3.7972038,-1.0127473,8.820239
41,1700197937877,-4.036624,-1.7238252,9.279925
42,1700197937896,-4.175488,-1.8555063,9.270349
43,1700197937918,-3.7732618,-1.8507179,8.947132
44,1700197937941,-3.5362358,-1.7741034,8.762778
387,1700197944790,-15.473725,-21.531055,-4.015076
388,1700198004302,-26.262,-19.498379,-0.51235914
389,1700198004311,-38.92254,-16.488867,-0.6919243
390,1700198004311,-52.67962,-18.397045,-3.2202013
391,1700198004312,-66.13264,-18.631678,-6.933608
392,1700198004312,-70.97611,-12.62702,-6.6415157
393,1700198004312,-74.950485,-8.090008,-0.79966336
394,1700198004313,-74.82359,-8.760384,-2.873042
395,1700198004313,-70.700775,-11.542446,-6.43322
396,1700198004314,-64.803856,-14.633361,-11.468226
397,1700198004314,-52.090645,-8.640674,-9.414001
398,1700198004314,-41.12999,-7.5968018,-3.1028855
399,1700198004315,-38.62326,-8.39886,-2.9831753
400,1700198004315,-36.26737,-4.84347,-5.547365
401,1700198004316,-34.395103,2.516306,-10.086772
402,1700198004316,-31.050402,6.9240313,-14.53041
403,1700198004316,-28.09117,10.290278,-18.52394
404,1700198004317,-30.626629,19.484013,-23.211786
405,1700198004324,-31.720778,20.04665,-23.305159
406,1700198004328,-25.49825,19.744982,-12.01171
407,1700198004330,-15.346833,19.407398,-5.1259856
408,1700198004331,-13.809755,16.024391,-5.070919
409,1700198004331,-14.003686,11.33894,-5.133168
