gender,Male,height,180
count,timestamp,x,y,z
0,1700738350812,-0.27977628,-0.66339964,-0.3811799
1,1700738350856,-0.44348818,-0.6133087,-0.40194935
2,1700738350856,-0.46914452,-0.55955255,-0.38728857
3,1700738350863,-0.30787608,-0.5522222,-0.535118
4,1700738350882,-0.20647246,-0.49846604,-0.53023106
5,1700738350903,-0.22724187,-0.44593164,-0.4813618
6,1700738350921,-0.2565634,-0.41905355,-0.41538838
7,1700738350944,-0.27855456,-0.39584067,-0.41416663
8,1700738350964,-0.2284636,-0.39095375,-0.47525316
9,1700738350981,-0.21502456,-0.3726278,-0.51923543
10,1700738351003,-0.27122417,-0.3494149,-0.49846604
11,1700738351022,-0.30298916,-0.3323107,-0.47769663
12,1700738351043,-0.31520647,-0.31398472,-0.46792278
13,1700738351064,-0.3213151,-0.2932153,-0.4801401
14,1700738351082,-0.3933972,-0.30665436,-0.43249258
15,1700738351103,-0.52290064,-0.36285394,-0.27122417
16,1700738351122,-0.6426302,-0.45937067,-0.09773844
17,1700738351143,-0.7965683,-0.52290064,0.12950343
18,1700738351163,-1.097114,-0.5900958,0.6084218
19,1700738351182,-1.4501941,-0.66706485,1.3500122
20,1700738351204,-1.736079,-0.6817256,2.043955
21,1700738351223,-2.0463986,-0.2284636,2.3127358
22,1700738351243,-2.764776,0.39584067,2.4373524
23,1700738351264,-3.8814378,1.0726794,2.4666739
24,1700738351282,-5.3829446,1.9449949,2.547308
25,1700738351303,-6.79893,3.0543263,2.552195
26,1700738351322,-8.481253,3.8325686,2.1111503
27,1700738351343,-10.868514,4.1954226,1.7348573
28,1700738351364,-11.882551,3.8069122,2.5485299
29,1700738351384,-11.366981,3.1105258,3.0653217
30,1700738351403,-7.718893,1.5858061,4.860044
31,1700738351423,-7.11658,2.058616,5.638286
32,1700738351443,-6.550919,1.8325957,6.3566637
33,1700738351467,-5.4269266,1.1203269,5.2681017
34,1700738351482,-4.9015827,0.2724459,4.373795
35,1700738351503,-4.1758747,-0.49846604,3.4611626
36,1700738351524,-3.4342844,-0.8063421,2.6108382
37,1700738351543,-2.5363126,-0.8210029,2.0720549
38,1700738351564,-1.858252,-0.8491027,1.6029104
39,1700738351583,-1.3035865,-0.8881981,0.9737192
40,1700738351603,-0.53878313,-0.88697636,0.30909783
41,1700738351623,0.10262536,-0.7330383,-0.27488935
42,1700738351644,0.4605924,-0.408058,-0.72326446
43,1700738351663,0.6768387,-0.15271631,-1.1032226
44,1700738351683,0.8356637,-0.16493362,-1.4770721
45,1700738351704,0.9053023,-0.3811799,-1.8093829
46,1700738351723,1.0091494,-0.42149702,-1.7947221
47,1700738351743,1.0164797,-0.6035349,-1.6517797
48,1700738351764,0.71593404,-0.6047566,-1.4856243
49,1700738351783,0.344528,-0.9016371,-1.4501941
50,1700738351804,-1.0897835,-1.8142698,-2.1930063
51,1700738351823,-2.2944098,-1.3671165,-4.229631
52,1700738351844,-2.32984,0.6462954,-7.1349063
53,1700738351863,0.4569272,1.1545353,-7.2876225
54,1700738351883,1.813048,1.1826351,-7.5869465
55,1700738351904,3.264464,2.058616,-7.7396626
56,1700738351924,2.869845,1.9523253,-7.7897534
57,1700738351943,2.8295279,1.7959439,-6.974859
58,1700738351964,3.0641,1.3451253,-5.929058
59,1700738351983,2.276084,0.8014552,-4.701219
60,1700738352005,0.9456194,0.4129449,-3.500258
61,1700738352023,-0.25778514,0.31764993,-2.4373524
62,1700738352043,-0.7770206,0.27977628,-1.4086553
63,1700738352063,-0.9370673,0.24312437,-0.40194935
64,1700738352083,-1.3121386,0.057421334,0.61941737
65,1700738352104,-1.5283848,-0.15149458,1.6957619
66,1700738352124,-1.4709635,-0.22235495,2.7537806
67,1700738352144,-1.4037683,-0.3885103,3.684739
68,1700738352164,-1.4391985,-0.42638394,4.106236
69,1700738352183,-1.4856243,-0.5717699,4.8099527
70,1700738352205,-1.672549,-0.73914695,5.6101866
71,1700738352226,-2.043955,-1.0934488,6.618114
72,1700738352247,-2.8026497,-1.359786,7.7543235
73,1700738352264,-3.268129,-1.6163495,8.02677
74,1700738352283,-3.916868,-2.3005185,7.326718
75,1700738352304,-3.105639,-2.8991663,5.3597317
76,1700738352327,-2.1612413,-2.3432791,3.0885346
77,1700738352346,-1.314582,-1.7373008,1.6835446
78,1700738352510,-0.47647488,-1.3267993,0.77579886
79,1700738352510,0.10262536,-1.1484267,0.22113322
80,1700738352520,0.4251622,-1.1606439,-0.103847094
81,1700738352524,0.5852089,-1.2205088,-0.2003638
82,1700738352524,0.6059783,-1.1203269,-0.1881465
83,1700738352525,0.49480084,-0.88208944,-0.25778514
84,1700738352525,0.34697145,-0.61575216,-0.32620203
85,1700738352525,0.17470746,-0.26389378,-0.49357912
86,1700738352525,0.15149458,0.24801129,-0.87964594
87,1700738352546,0.36774087,0.7098254,-1.2315043
88,1700738352584,0.54733527,0.956615,-1.4220943
89,1700738352585,1.0897835,1.3170254,-1.8509218
90,1700738352624,1.613906,1.6371188,-2.5265386
91,1700738352624,1.9352211,1.72264,-3.604105
92,1700738352671,1.8729129,1.5735888,-5.4122663
93,1700738352672,1.5222762,4.883257,-6.541145
94,1700738352699,3.7287214,2.8515189,-6.1123176
95,1700738352736,2.9773571,2.3909266,-6.514267
96,1700738352736,2.225993,2.0305161,-6.3444467
97,1700738352746,2.1917844,1.6676621,-5.6651645
98,1700738352766,2.5900686,1.5528195,-4.811175
99,1700738352789,2.460565,1.2388347,-4.002389
100,1700738352808,1.4404203,0.816116,-3.2217033
101,1700738352827,0.4361578,0.38973203,-2.4080307
102,1700738352847,-0.22968534,0.04642576,-1.563815
103,1700738352880,-0.7476991,-0.25289822,-0.5852089
104,1700738352885,-1.142318,-0.5375614,0.59986967
105,1700738352907,-1.3500122,-0.7415904,1.8887954
106,1700738352928,-1.5039502,-0.88208944,3.0921998
107,1700738352945,-1.7079792,-1.028697,4.188092
108,1700738352966,-1.8289305,-1.0299188,4.7036624
109,1700738352986,-2.1111503,-1.0054842,5.7629027
110,1700738353006,-2.488665,-1.0384709,6.899112
111,1700738353025,-3.1215215,-0.98471475,8.008444
112,1700738353048,-3.8643336,-0.6035349,8.39451
113,1700738353068,-5.2302284,-2.3127358,6.985855
114,1700738353086,-4.572937,-3.5283577,4.7390924
115,1700738353108,-2.8356364,-3.3353243,2.7049112
116,1700738353126,-0.7476991,-2.557082,1.486846
117,1700738353146,0.54733527,-2.1013765,0.88331115
118,1700738353166,0.77824235,-1.971873,0.5571091
119,1700738353186,0.82711154,-1.6261233,0.31520647
120,1700738353207,0.86009824,-1.2241739,0.034208454
121,1700738353227,0.7770206,-0.81000733,-0.23823744
122,1700738353247,0.75136423,-0.2125811,-0.49602258
123,1700738353267,0.72204274,0.3213151,-0.86742866
124,1700738353287,0.63285637,0.8210029,-1.1826351
125,1700738353308,0.5375614,1.2449434,-1.5418239
126,1700738353328,0.7648033,1.5919148,-1.9254472
127,1700738353349,0.97494096,1.7568485,-2.1661282
128,1700738353367,1.4465289,1.958434,-2.7049112
129,1700738353386,1.6835446,1.6151277,-3.6480873
130,1700738353408,1.5393804,1.5234979,-5.2619934
131,1700738353427,0.9492846,4.776966,-5.9082885
132,1700738353448,2.8087585,2.2296581,-6.3432245
133,1700738353467,2.1025982,1.8277088,-6.9870768
134,1700738353488,1.7886134,1.6982054,-6.7891564
135,1700738353510,2.0402899,1.7470746,-5.966932
136,1700738353527,2.2919664,1.717753,-4.834388
137,1700738353548,2.0158553,1.4856243,-3.7103956
138,1700738353566,1.2461652,1.0751228,-2.6145031
139,1700738353588,0.26633725,0.75136423,-1.5112807
140,1700738353607,-0.6658431,0.5155703,-0.3921755
141,1700738353629,-1.4721853,0.18081611,0.71837753
142,1700738353648,-1.7666223,-0.33475417,1.781283
143,1700738353667,-1.704314,-0.61086524,2.833193
144,1700738353688,-1.6639969,-0.81245077,3.8777726
145,1700738353707,-2.026851,-0.9309586,4.845383
146,1700738353727,-2.3603833,-1.0482447,5.26688
147,1700738353749,-3.1948252,-1.2425,6.079331
148,1700738353769,-3.6774087,-1.7067575,6.5985665
149,1700738353787,-4.034154,-1.7531832,6.6559877
150,1700738353808,-5.1007247,-1.8961257,6.1001005
151,1700738353829,-5.580865,-2.7354546,4.390899
152,1700738353848,-4.3713517,-2.4312437,2.6902506
153,1700738353870,-1.9193386,-2.0317378,1.5674802
154,1700738353887,0.29077184,-1.314582,0.61208695
155,1700738353911,0.38606682,-1.5894713,-0.21013765
156,1700738353929,0.25167647,-2.3506095,-0.7648033
157,1700738353947,1.0042624,-2.3689353,-1.0299188
158,1700738353968,1.5528195,-1.8497,-1.3487904
159,1700738353989,1.3768903,-1.5137241,-1.3683381
160,1700738354009,0.68539083,-1.2205088,-1.5809193
161,1700738354029,0.50823987,-0.69027776,-1.8191566
162,1700738354048,0.49357912,-0.643852,-1.9474384
163,1700738354070,0.5644395,-0.3213151,-2.117259
164,1700738354090,0.893085,0.3213151,-2.3835962
165,1700738354109,1.028697,0.625526,-2.8429668
166,1700738354127,1.0592403,0.83199847,-3.1630602
167,1700738354147,0.91751957,1.0360274,-3.7470474
168,1700738354167,0.87598073,1.3304645,-4.120897
169,1700738354188,0.9309586,1.7434094,-4.465425
170,1700738354210,1.1948525,2.9003882,-4.8857
171,1700738354231,0.97005403,3.9327505,-4.94923
172,1700738354248,0.94806284,4.350582,-4.6572366
173,1700738354267,1.2486086,4.849048,-4.10868
174,1700738354287,1.0213667,4.482529,-3.3304374
175,1700738354309,0.13805555,3.6541958,-2.4642303
