gender,Female,height,155
count,timestamp,x,y,z
18727,1700134824960,-4.8458643,0.12928689,9.68694
18728,1700134824961,-1.8579005,1.3670892,9.081207
18729,1700134824962,-2.60968,2.2385786,9.349358
18730,1700134824962,-2.815581,1.115698,9.679757
18731,1700134824963,-2.597709,1.3335704,9.615114
18732,1700134824980,-2.7246015,1.2473791,9.588778
18733,1700134824994,-2.669535,1.5251064,9.380483
18734,1700134825010,-2.4396915,1.6903064,9.14585
18735,1700134825030,-2.633622,1.3263878,9.368511
18736,1700134825048,-2.7365725,1.42455,9.334992
18737,1700134825069,-2.621651,1.4556746,9.119514
18738,1700134825093,-2.7269957,1.3934253,9.141062
18739,1700134825110,-2.7748797,1.283292,9.251195
18740,1700134825129,-2.7581203,1.1013328,9.229648
18741,1700134825148,-2.6647465,1.1731589,9.222465
18742,1700134825169,-2.72939,1.292869,9.153033
18743,1700134825193,-2.7006595,1.3862427,9.25359
18744,1700134825210,-2.743755,1.4293385,9.215282
18745,1700134825230,-2.7269957,1.5514427,9.210494
18746,1700134825248,-2.6767175,1.4676456,9.224859
18747,1700134825271,-2.7629087,1.4221559,9.370906
18748,1700134825293,-2.7868507,1.4580688,9.330204
18749,1700134825319,-2.753332,1.5897499,9.313444
18750,1700134825329,-2.906561,1.520318,9.459491
18751,1700134825348,-2.8658595,1.484405,9.351752
18752,1700134825374,-2.7389667,1.4101849,9.325416
18753,1700134825394,-2.765303,1.4532804,9.370906
18754,1700134825411,-2.8083985,1.4987702,9.224859
18755,1700134825432,-2.8395233,1.4460979,9.169792
18756,1700134825448,-2.767697,1.3958195,9.255983
18757,1700134825470,-2.7820623,1.3455414,9.160215
18758,1700134825495,-2.822764,1.388637,9.25359
18759,1700134825511,-2.7988217,1.3120226,9.172187
18760,1700134825529,-2.741361,1.3431472,9.179369
18761,1700134825548,-2.7485435,1.3455414,9.258378
18762,1700134825571,-2.7485435,1.3599066,9.172187
18763,1700134825593,-2.8060043,1.3551182,9.081207
18764,1700134825611,-2.8754363,1.2617443,9.13388
18765,1700134825629,-2.7724855,1.2761095,9.109938
18766,1700134825648,-2.8443117,1.2976574,9.102755
18767,1700134825671,-2.9975405,1.3455414,9.078813
18768,1700134825694,-3.1435869,1.5346833,8.899248
18769,1700134825711,-3.5577838,1.6519991,8.947132
18770,1700134825732,-3.9911342,1.8531121,8.717288
18771,1700134825748,-4.1060557,2.0709844,8.169016
18772,1700134825771,-4.220978,2.0015526,7.6231384
18773,1700134825794,-4.146757,1.8483237,6.8450227
18774,1700134825812,-3.8474822,2.1763294,6.1530986
18775,1700134825829,-4.417302,1.4652514,6.117185
18776,1700134825848,-4.5298295,0.6943185,5.9400144
18777,1700134825876,-4.261679,0.33279404,5.9783216
18778,1700134825895,-4.402937,-0.16519992,6.0836663
18779,1700134825912,-4.5513773,-0.2777274,6.5218053
18780,1700134825930,-4.4125137,-0.47884035,6.540959
18781,1700134825948,-4.5777135,-0.7637503,6.4739213
18782,1700134825967,-5.403713,-1.7669208,6.7588315
18783,1700134825993,-6.0740895,-3.13401,7.240066
18784,1700134826012,-6.5002575,-4.309563,7.5106106
18785,1700134826029,-6.694188,-5.497087,7.4363904
18786,1700134826049,-7.1227503,-6.8091097,7.089231
18787,1700134826071,-7.1131735,-7.6015906,6.9024835
18788,1700134826096,-6.8091097,-8.192958,6.169858
18789,1700134826112,-6.6415157,-8.779537,5.5641246
18790,1700134826130,-6.4164605,-9.842564,5.2409077
18791,1700134826148,-5.683835,-9.715671,4.7764325
18792,1700134826172,-5.461174,-10.151415,4.24492
18793,1700134826194,-5.4922986,-11.101913,4.144363
18794,1700134826213,-5.109226,-11.465832,3.8187518
18795,1700134826229,-4.996699,-11.473015,3.4261026
18796,1700134826247,-5.1762643,-11.68131,3.1962593
18797,1700134826267,-4.927267,-10.900801,2.5187001
18798,1700134826297,-4.4340615,-10.187328,1.7956513
18799,1700134826311,-3.6343982,-10.117896,1.5346833
18800,1700134826329,-3.2489316,-10.070012,1.5275006
18801,1700134826348,-2.633622,-9.844957,1.3359646
18802,1700134826366,-1.8459295,-10.0029745,1.6041151
18803,1700134826393,-1.2090719,-9.909601,1.7812861
18804,1700134826414,-0.8355764,-9.983821,1.8459295
18805,1700134826430,-0.5506664,-10.278308,2.4732103
18806,1700134826448,0.16998832,-10.342952,2.7030537
18807,1700134826467,1.0366893,-10.093954,2.384625
18808,1700134826493,1.4700398,-9.868899,1.8914193
18809,1700134826512,1.5682021,-9.945514,0.8882488
18810,1700134826529,1.1707647,-11.623849,0.36391866
18811,1700134826549,-0.16998832,-14.475344,-0.2825158
18812,1700134826566,-1.1109096,-14.848839,-0.28491
18813,1700134826589,-1.1899183,-15.200787,-1.2641385
18814,1700134826613,2.9113493,-15.509639,-0.8810662
18815,1700134826629,-3.2848446,-14.84405,-2.6312277
18816,1700134826647,-4.2185836,-14.681245,-2.9712043
18817,1700134826666,-3.6343982,-14.458584,-3.3375173
18818,1700134826688,-3.9312792,-15.1936035,-2.4349031
18819,1700134826712,-3.8738184,-14.978126,-1.7741034
18820,1700134826729,-3.715801,-14.848839,-1.2641385
18821,1700134826751,-3.7014358,-14.614207,-1.3862427
18822,1700134826766,-4.1132383,-13.759478,-1.5682021
18823,1700134826789,-4.1156325,-12.600683,-1.151611
18824,1700134826813,-3.6966474,-11.317391,-0.6560113
18825,1700134826831,-3.6942532,-9.452309,0.11731588
18826,1700134826848,-4.3718123,-7.311892,0.260968
18827,1700134826865,-4.948815,-4.783615,-0.18674773
18828,1700134826886,-5.044583,-2.1428106,-1.0031705
18829,1700134826912,-4.951209,2.4779987,-0.7206547
18830,1700134826944,-5.449203,6.3685765,-2.3319526
18831,1700134826946,-8.169016,5.2409077,-2.8562827
18832,1700134826965,-8.987833,2.9496565,-2.456451
18833,1700134826986,-7.8410106,4.7381253,-1.9871874
18834,1700134827011,-7.831434,5.3965306,-0.80205756
18835,1700134827030,-8.872911,3.3207579,-0.05746084
18836,1700134827047,-10.809821,-0.2681506,0.2753332
18837,1700134827065,-17.23107,-12.516887,-1.7310078
18838,1700134827085,-20.072987,-34.059914,2.4396915
18839,1700134827108,-12.660539,-37.99119,1.2856863
18840,1700134827130,-13.55597,-36.858734,1.3096284
18841,1700134827153,-8.566454,-29.803022,1.484405
18842,1700134827172,-5.865794,-23.44881,0.9576807
18843,1700134827189,-3.4021606,-17.942148,0.33039984
18844,1700134827213,0.24181437,-13.572729,-1.340753
18845,1700134827235,4.8506527,-10.304645,-3.028665
18846,1700134827259,9.277532,-8.3150625,-4.55856
18847,1700134827288,11.63582,-8.152257,-4.7141833
18848,1700134827288,12.825739,-6.2871737,-3.799598
18849,1700134827548,12.227188,-5.803545,-1.9871874
18850,1700134827548,10.266336,-4.807557,-0.7350199
18851,1700134827585,8.173804,-6.0357823,0.02633622
18852,1700134827586,6.145916,-8.7532015,-0.33518824
18853,1700134827586,3.6487634,-13.735536,-0.24660277
18854,1700134827587,0.047884032,-22.244528,1.0271125
18855,1700134827588,-4.7548847,-27.880478,2.1906946
18856,1700134827588,-6.6510925,-28.172571,0.007182605
18857,1700134827590,-6.1626754,-25.665842,-1.2641385
18858,1700134827590,-9.828198,-22.83829,-1.661576
18859,1700134827607,-9.469068,-21.241358,-0.48123455
18860,1700134827607,-8.647857,-16.895882,-1.2306197
18861,1700134827611,-8.183381,-11.513716,-2.6312277
18862,1700134827612,-8.300697,-7.872135,-2.89459
18863,1700134827630,-5.9064956,-4.331111,-2.7844565
18864,1700134827694,-8.513782,-1.3024458,-4.8362875
18865,1700134827701,-8.346188,2.0805612,-2.6767175
18866,1700134827702,-8.722076,4.7165775,-4.355053
18867,1700134827702,-9.0476885,6.7372837,-5.0014873
18868,1700134827703,-9.0476885,7.1945763,-4.84347
18869,1700134827704,-8.161834,7.101202,-3.1771057
18870,1700134827734,-7.479486,5.985504,-2.2026656
18871,1700134827751,-8.35337,4.5633483,-1.5825673
18872,1700134827764,-10.247183,3.8067808,-1.5610195
18873,1700134827784,-15.275007,-5.0062757,-2.5067291
18874,1700134827806,-20.96363,-32.800564,7.1826053
18875,1700134827827,-14.578294,-41.809944,5.0254292
18876,1700134827844,-11.532869,-37.9457,0.02633622
18877,1700134827881,-6.9886746,-33.679234,1.340753
18878,1700134827888,-4.4699745,-27.329813,1.5179238
18879,1700134827915,-1.5298948,-24.317907,1.3694834
18880,1700134827937,1.1133038,-17.985243,0.30645782
18881,1700134827946,3.8833952,-13.050794,-1.0534488
18882,1700134827968,6.981492,-10.433931,-1.8722657
18883,1700134827984,10.3214035,-8.6334915,-3.265691
18884,1700134828007,12.880805,-6.3542113,-3.9863458
18885,1700134828025,14.279019,-4.5657425,-4.5441947
18886,1700134828043,13.340492,-3.277662,-3.8786068
18887,1700134828065,10.9822035,-4.570531,-3.406949
18888,1700134828083,7.867347,-7.1945763,-2.315193
18889,1700134828103,5.011064,-11.226412,-1.0103531
18890,1700134828127,3.169923,-16.711529,-3.4715924
18891,1700134828145,-1.9153614,-24.820688,-4.548983
18892,1700134828163,-5.231331,-28.845343,-1.673547
18893,1700134828183,-4.7309427,-29.561209,-3.229778
18894,1700134828204,-8.508993,-26.436775,-3.7469256
18895,1700134828224,-8.640674,-22.55338,-3.2632968
18896,1700134828243,-7.869741,-19.10573,-2.5234885
18897,1700134828263,-8.7125,-14.209587,-3.8594532
18898,1700134828284,-9.615114,-8.734048,-4.661511
18899,1700134828304,-8.6813755,-4.414908,-4.015076
18900,1700134828324,-8.449138,0.12689269,-3.7134068
18901,1700134828343,-9.208099,4.675876,-4.9057193
18902,1700134828363,-10.579977,9.157822,-6.169858
18903,1700134828385,-8.341399,10.04607,-5.1571107
18904,1700134828404,-8.513782,9.40203,-4.441244
18905,1700134828424,-10.084377,7.716512,-3.5122938
18906,1700134828445,-10.907983,5.3558292,-0.90500826
18907,1700134828463,-12.564771,3.5170822,-0.581791
18908,1700134828483,-19.433735,-6.9024835,-3.052607
18909,1700134828503,-31.799788,-40.96479,4.5657425
18910,1700134828524,-14.944607,-41.690235,5.3127337
18911,1700134828544,-13.560759,-38.218643,1.7190368
18912,1700134828563,-7.019799,-30.645782,3.5314474
18913,1700134828583,-2.705448,-22.373816,2.956839
18914,1700134828603,-0.40701428,-17.518373,2.1092918
18915,1700134828624,1.6831238,-11.403583,0.6512229
18916,1700134828644,5.6766524,-7.759608,-0.5554548
18917,1700134828669,9.895236,-6.519411,-2.15957
18918,1700134828685,12.990938,-5.3582234,-3.9480386
18919,1700134828703,15.346833,-4.1395745,-5.523423
18920,1700134828723,17.26459,-4.474763,-4.0581717
18921,1700134828745,15.033193,-7.843405,-1.7645266
18922,1700134828763,12.212823,-11.609484,-2.8682537
18923,1700134828783,8.6334915,-12.665327,-5.5976434
18924,1700134828803,6.327875,-16.43859,-5.825093
18925,1700134828823,1.922544,-28.505365,-4.8698063
18926,1700134828843,-5.5162406,-34.938587,-2.9975405
18927,1700134828863,-5.9304376,-34.612972,-3.074155
18928,1700134828884,-10.520123,-32.266655,-3.7086184
18929,1700134828903,-11.647791,-27.55008,-5.279215
18930,1700134828923,-12.674904,-20.585346,-3.928885
18931,1700134828942,-9.119514,-15.950171,-1.8435353
18932,1700134828964,-13.208811,-6.227319,-2.2242134
18933,1700134828983,-9.555259,-2.231396,-2.2361844
18934,1700134829003,-9.998186,1.5705963,-2.9879637
18935,1700134829023,-8.992621,6.8881183,-3.217807
18936,1700134829043,-10.283096,10.8624935,-5.2169657
18937,1700134829062,-8.889671,11.722012,-4.5441947
18938,1700134829084,-9.258378,10.441113,-4.0174704
18939,1700134829102,-11.329363,8.027759,-3.5098996
18940,1700134829123,-12.13142,6.7947445,-2.8634653
18941,1700134829143,-13.218388,3.9384618,-1.3215994
18942,1700134829162,-15.799337,1.2904748,-0.533907
18943,1700134829183,-23.614012,-11.7148285,-3.1483753
18944,1700134829203,-32.34806,-44.0988,5.3606176
18945,1700134829223,-17.484856,-48.60469,1.6567876
18946,1700134829242,-17.827227,-42.95916,-1.1061212
18947,1700134829262,-7.869741,-32.304962,0.830788
18948,1700134829283,-2.078167,-23.578098,1.1468226
18949,1700134829302,-0.25378537,-16.555904,-0.035913024
18950,1700134829323,2.7246015,-11.760319,-2.1859062
18951,1700134829343,7.00304,-8.678981,-3.383007
18952,1700134829363,11.192893,-7.7572136,-4.6686935
18953,1700134829382,14.657303,-6.0860605,-5.7628436
18954,1700134829403,16.821661,-4.656722,-4.972757
18955,1700134829423,13.661315,-5.511452,-3.4213142
18956,1700134829442,12.39957,-7.501034,-1.5275006
18957,1700134829462,10.038888,-11.154586,-1.5873557
18958,1700134829482,6.543353,-15.914259,-2.0135236
18959,1700134829503,2.3247697,-23.2884,-1.7022774
18960,1700134829524,-2.9257145,-29.697678,-1.4796166
18961,1700134829542,-4.771644,-31.931469,-1.1899183
18962,1700134829564,-6.811504,-31.538818,-2.6839
18963,1700134829582,-9.947908,-28.13187,-2.753332
18964,1700134829603,-9.514558,-22.984337,-3.0190883
18965,1700134829624,-10.551247,-16.773777,-3.6463692
18966,1700134829643,-10.613496,-10.795456,-3.4117374
18967,1700134829664,-8.63828,-6.9168487,-2.695871
18968,1700134829682,-10.371682,0.16998832,-3.1435869
18969,1700134829703,-12.552799,6.3829417,-6.1507044
18970,1700134829725,-10.831368,12.914324,-7.728483
18971,1700134829742,-11.508927,16.05791,-7.2448545
18972,1700134829762,-10.2974615,13.838486,-6.4068837
18973,1700134829783,-11.422736,9.368511,-5.0517654
18974,1700134829802,-13.922283,6.7372837,-3.7373488
18975,1700134829823,-15.411476,3.4739866,-4.175488
18976,1700134829842,-24.066515,-12.6222315,-4.7788267
18977,1700134829862,-24.657883,-48.58793,9.062054
18978,1700134829882,-15.466543,-46.387657,-0.51714754
18979,1700134829901,-14.068329,-42.612003,1.2186487
18980,1700134829923,-6.397307,-31.950623,1.9321208
18981,1700134829942,-1.1324574,-23.264458,1.733402
18982,1700134829962,-0.047884032,-16.78096,1.9057846
18983,1700134829983,2.7150247,-12.196063,0.17956513
18984,1700134830002,6.145916,-8.506598,-1.0295067
18985,1700134830022,10.742783,-7.493851,-2.822764
18986,1700134830041,15.629349,-7.019799,-4.3718123
18987,1700134830061,16.474503,-5.791574,-4.1012673
18988,1700134830081,17.159243,-7.074866,-5.0182467
18989,1700134830102,14.877569,-8.331821,-4.2185836
18990,1700134830123,11.360487,-11.355699,-3.3877954
18991,1700134830142,8.312668,-14.369999,-3.430891
18992,1700134830162,5.2121773,-20.432117,-3.58412
18993,1700134830181,1.2689269,-28.174965,-2.717419
18994,1700134830201,-2.1787236,-31.507694,-1.1013328
18995,1700134830222,-4.1611223,-32.106243,-1.7286136
18996,1700134830241,-8.401254,-29.022512,-1.4341269
