gender,Female,height,155
count,timestamp,x,y,z
18726,1700134824961,-0.62796944,0.4092797,0.037873644
18727,1700134824961,0.08307768,-0.15515977,0.028099801
18728,1700134824962,0.204029,0.017104227,0.042760566
18729,1700134824962,-0.15393804,0.03176499,-0.018325957
18730,1700134824963,-0.12583824,-0.008552114,-0.035430185
18731,1700134824981,-0.035430185,0.018325957,0.015882496
18732,1700134824994,0.07941248,-0.010995574,-0.009773844
18733,1700134825010,0.039095376,-0.02687807,-0.028099801
18734,1700134825033,-0.062308256,0.007330383,-0.03176499
18735,1700134825049,0.004886922,-0.0061086523,-0.0036651916
18736,1700134825070,0.040317107,-0.012217305,0.009773844
18737,1700134825093,0.015882496,0.019547688,0.0036651916
18738,1700134825110,-0.018325957,0.010995574,0.012217305
18739,1700134825131,-0.029321533,0.012217305,0.0036651916
18740,1700134825149,0.0012217305,0.009773844,-0.010995574
18741,1700134825173,0.018325957,0.015882496,-0.036651913
18742,1700134825193,0.0,0.021991149,-0.04153884
18743,1700134825210,0.0036651916,0.03176499,-0.04153884
18744,1700134825230,0.0036651916,0.028099801,-0.039095376
18745,1700134825249,-0.014660766,0.032986723,-0.04153884
18746,1700134825275,-0.019547688,0.05375614,-0.034208454
18747,1700134825294,0.010995574,0.057421334,-0.030543262
18748,1700134825319,0.019547688,0.043982297,-0.02443461
18749,1700134825330,-0.008552114,0.05009095,-0.014660766
18750,1700134825349,-0.009773844,0.028099801,-0.009773844
18751,1700134825378,-0.013439035,0.008552114,-0.009773844
18752,1700134825394,-0.010995574,0.013439035,-0.007330383
18753,1700134825412,0.010995574,0.0061086523,-0.010995574
18754,1700134825433,-0.007330383,0.0061086523,0.0
18755,1700134825449,-0.042760566,0.009773844,0.007330383
18756,1700134825471,-0.014660766,0.0036651916,0.0012217305
18757,1700134825495,-0.04153884,0.018325957,0.008552114
18758,1700134825511,-0.039095376,0.012217305,0.008552114
18759,1700134825544,-0.037873644,0.008552114,-0.002443461
18760,1700134825549,-0.02687807,0.02687807,0.0012217305
18761,1700134825571,-0.02321288,0.029321533,0.0012217305
18762,1700134825594,-0.03176499,0.040317107,0.0012217305
18763,1700134825611,-0.052534413,0.05131268,0.010995574
18764,1700134825629,-0.058643065,0.03176499,-0.0012217305
18765,1700134825651,-0.062308256,0.042760566,-0.002443461
18766,1700134825672,-0.09162979,0.06841691,0.007330383
18767,1700134825694,-0.10629055,0.047647487,0.02076942
18768,1700134825712,-0.19181168,0.04153884,0.06352998
18769,1700134825733,-0.35796702,0.010995574,0.13927728
18770,1700134825749,-0.5216789,-0.096516706,0.20647246
18771,1700134825772,-0.766025,-0.16493362,0.3286455
18772,1700134825794,-0.98715824,-0.26389378,0.40439278
18773,1700134825812,-1.3732251,-0.26267207,0.49968776
18774,1700134825829,-1.9999728,-0.07941248,0.593761
18775,1700134825849,-2.388483,-0.035430185,0.766025
18776,1700134825877,-2.5057693,-0.021991149,0.8918633
18777,1700134825896,-2.4666739,0.05497787,1.0580186
18778,1700134825913,-2.4495697,0.16126843,1.2583824
18779,1700134825930,-2.4727826,0.21502456,1.4220943
18780,1700134825951,-2.7049112,0.3726278,1.5931365
18781,1700134825979,-3.1031954,0.5216789,1.7519615
18782,1700134825994,-3.4733799,0.50701815,1.9388863
18783,1700134826012,-3.6077702,0.40561453,2.0793853
18784,1700134826029,-3.7861428,0.27000242,2.1856759
18785,1700134826049,-3.9498546,0.1600467,2.1746802
18786,1700134826072,-4.1318927,-0.06352998,2.1294763
18787,1700134826097,-4.117232,-0.3200934,2.0683897
18788,1700134826113,-4.408004,-0.47891834,1.9230038
18789,1700134826132,-4.681671,-0.6646214,1.8069394
18790,1700134826149,-4.673119,-0.7965683,1.6383406
18791,1700134826174,-4.641354,-0.8344419,1.3524556
18792,1700134826195,-4.6682324,-0.75625116,1.1276573
18793,1700134826213,-4.3090434,-0.7867944,1.0128145
18794,1700134826229,-3.6370916,-0.7696902,0.88453287
18795,1700134826247,-3.087313,-0.72692966,0.8197812
18796,1700134826279,-2.5961773,-0.6743952,0.82711154
18797,1700134826298,-2.2834144,-0.65118235,0.75747293
18798,1700134826312,-2.3493876,-0.68783426,0.675617
18799,1700134826330,-2.4336872,-0.6462954,0.6536258
18800,1700134826350,-2.2382102,-0.675617,0.6206391
18801,1700134826380,-1.9816469,-0.766025,0.6230826
18802,1700134826394,-1.6420058,-0.7489208,0.675617
18803,1700134826415,-1.2889256,-0.71837753,0.7110472
18804,1700134826430,-1.2412782,-0.68539083,0.79045963
18805,1700134826448,-1.2339478,-0.6609562,0.79168135
18806,1700134826477,-1.1032226,-0.7635816,0.64751714
18807,1700134826493,-1.0958922,-0.77946407,0.32742378
18808,1700134826513,-1.3500122,-0.71593404,-0.09773844
18809,1700134826530,-1.72264,-0.44959682,-0.56321776
18810,1700134826550,-1.7250835,-0.10873401,-1.2351695
18811,1700134826567,-1.767844,0.036651913,-1.6664404
18812,1700134826594,-0.96883225,0.24190263,-1.9339994
18813,1700134826613,-0.039095376,0.6976081,-2.3445008
18814,1700134826630,0.7049385,1.1618657,-2.7953193
18815,1700134826649,0.8051204,1.4245378,-3.1728342
18816,1700134826669,0.8026769,1.4953982,-3.35365
18817,1700134826689,0.8051204,1.709201,-3.4917057
18818,1700134826713,1.2034045,1.8118263,-3.3841934
18819,1700134826730,1.3927728,1.8839084,-3.1948252
18820,1700134826763,1.4135422,1.9352211,-2.9956832
18821,1700134826767,1.4001031,1.998751,-2.5729644
18822,1700134826790,1.1313224,1.8961257,-2.1355848
18823,1700134826814,0.9932669,1.6823229,-1.8594738
18824,1700134826831,0.8784242,1.5222762,-1.6798794
18825,1700134826848,1.0042624,1.459968,-1.4269812
18826,1700134826866,1.2302825,1.3939945,-1.1178834
18827,1700134826888,1.3561208,1.2253957,-0.81489426
18828,1700134826913,1.2241739,1.0323622,-0.46303585
18829,1700134826945,1.3573426,0.8454375,-0.19425514
18830,1700134826946,1.3658947,0.61208695,0.42638394
18831,1700134826967,0.41905355,0.37140608,1.3524556
18832,1700134826996,-0.23335053,0.19058995,2.9443705
18833,1700134827011,-0.8772025,0.25900686,4.062254
18834,1700134827030,-1.5540411,0.48747048,4.6230283
18835,1700134827047,-1.9401081,0.6377433,5.2192326
18836,1700134827067,-1.9816469,0.11362094,4.721988
18837,1700134827085,-3.4342844,-2.172237,3.594331
18838,1700134827109,-3.8582249,-2.189341,3.4074063
18839,1700134827131,-2.8979447,-2.39337,2.1600194
18840,1700134827171,-1.8044959,-2.7818804,1.2925909
18841,1700134827172,-1.0946705,-3.0775392,0.9260717
18842,1700134827190,-0.7305948,-3.4196236,0.7318166
18843,1700134827213,-0.657291,-3.7274997,0.6047566
18844,1700134827236,-0.72692966,-3.9645154,0.5314528
18845,1700134827260,-0.63529986,-3.5027013,0.77213365
18846,1700134827288,-0.6719518,-2.7708848,0.7086037
18847,1700134827289,-0.7122689,-1.4367551,0.2883284
18848,1700134827548,-0.6096435,-0.1563815,-0.14782938
18849,1700134827575,-0.7892379,1.0140363,-0.45814893
18850,1700134827585,-0.105068825,1.7030923,-0.8698721
18851,1700134827586,0.29565877,2.3848178,-1.2241739
18852,1700134827587,0.118507855,2.7269025,-1.9963076
18853,1700134827587,0.46670106,3.5246925,-2.9529226
18854,1700134827588,1.0054842,3.875329,-3.540575
18855,1700134827590,2.547308,3.042109,-4.01705
18856,1700134827590,2.4654522,2.1343632,-3.9364157
18857,1700134827604,1.9144517,2.194228,-4.4580946
18858,1700134827607,1.7348573,1.4905112,-4.1783185
18859,1700134827609,1.844813,1.2632693,-3.811799
18860,1700134827612,1.8851302,1.3206906,-3.5735617
18861,1700134827612,1.7556267,1.1472049,-3.7775908
18862,1700134827631,1.5063937,1.0812315,-2.7977629
18863,1700134827700,1.7580702,0.7635816,-2.4801128
18864,1700134827701,1.8460348,1.0030408,-1.7922786
18865,1700134827702,1.7898352,1.1374311,-0.9737192
18866,1700134827702,1.568702,0.75136423,-0.60231316
18867,1700134827703,0.6096435,0.5546656,0.6719518
18868,1700134827713,-0.30909783,0.26267207,1.7751744
18869,1700134827734,-0.9773844,0.26389378,2.8087585
18870,1700134827752,-1.5454891,0.7305948,4.0598106
18871,1700134827777,-2.0610592,1.0054842,5.1434855
18872,1700134827785,-2.7574458,0.68416905,5.2742105
18873,1700134827808,-4.2650614,-1.6163495,4.3029346
18874,1700134827829,-3.739717,-1.8680259,4.845383
18875,1700134827846,-2.0390682,-2.058616,4.2785
18876,1700134827883,-2.905275,-2.7403414,3.082426
18877,1700134827888,-3.4061847,-3.1435125,2.1209242
18878,1700134827921,-3.2888985,-3.2925637,1.781283
18879,1700134827942,-1.9596558,-3.649309,1.205848
18880,1700134827950,-1.6798794,-3.7201693,1.1325442
18881,1700134827969,-1.2400564,-3.7336085,1.1252137
18882,1700134827987,-0.87109387,-3.481932,0.75869465
18883,1700134828011,-0.593761,-2.9541442,0.47525316
18884,1700134828030,-0.59986967,-1.8680259,0.042760566
18885,1700134828047,-1.1569787,-0.65484756,-0.4447099
18886,1700134828066,-1.3842206,0.6609562,-0.48624873
18887,1700134828085,-0.7464773,1.9474384,-0.98471475
18888,1700134828104,-0.002443461,3.209486,-0.9651671
18889,1700134828134,-0.064751714,3.4965928,-2.411696
18890,1700134828147,0.4288274,4.5301766,-3.4623842
18891,1700134828164,0.79412484,4.8417177,-3.6407568
18892,1700134828184,2.0134118,3.9315288,-3.866777
18893,1700134828205,2.379931,4.030489,-4.152662
18894,1700134828225,2.7403414,3.3475416,-4.1538835
18895,1700134828245,2.6780334,2.4996605,-3.9791763
18896,1700134828264,2.4788911,2.212554,-3.7433822
18897,1700134828286,1.9437732,1.9608774,-3.3169982
18898,1700134828305,1.6249015,1.3548992,-2.6939158
18899,1700134828326,1.8020525,0.8454375,-2.130698
18900,1700134828345,2.117259,1.0067059,-1.3720033
18901,1700134828367,1.9120082,0.93584555,-0.56077427
18902,1700134828386,0.9859365,0.8197812,0.675617
18903,1700134828405,-0.05375614,1.1667526,1.9853121
18904,1700134828425,-0.9822713,1.5381587,3.0885346
18905,1700134828446,-1.5674802,1.4624114,4.1990876
18906,1700134828466,-2.1429152,1.5674802,5.3279667
18907,1700134828484,-2.9028316,1.4172074,5.8325415
18908,1700134828505,-2.5277603,-2.1563544,3.938859
18909,1700134828525,-2.32984,-2.107485,5.3169713
18910,1700134828545,-2.8808405,-1.740966,3.684739
18911,1700134828565,-3.408628,-2.6951375,2.2052236
18912,1700134828585,-2.765998,-2.8527408,1.4514158
18913,1700134828605,-1.8973475,-2.9382617,1.2742649
18914,1700134828626,-0.9957104,-3.321885,1.0531317
18915,1700134828646,-0.6963864,-3.8276815,1.1850786
18916,1700134828671,-0.58276546,-3.7995818,1.314582
18917,1700134828687,-0.7318166,-3.336546,0.9468411
18918,1700134828704,-1.205848,-2.8136454,0.52778757
18919,1700134828725,-2.2223277,-1.8387043,0.33964106
18920,1700134828748,-2.6584857,-0.11484267,-0.43371433
18921,1700134828765,-0.8881981,1.2156218,-1.0445796
18922,1700134828783,0.91629785,1.6224581,-2.4361305
18923,1700134828803,0.4813618,2.493552,-3.3389895
18924,1700134828824,-0.6414085,4.4385467,-4.78674
18925,1700134828847,-0.9810496,4.9113564,-5.839872
18926,1700134828864,0.91629785,3.3707545,-5.996253
18927,1700134828886,2.0109684,3.249803,-6.25526
18928,1700134828904,1.953547,3.0079005,-5.863085
18929,1700134828924,1.5332718,2.5607471,-5.4330354
18930,1700134828943,1.3927728,2.4226916,-4.940678
18931,1700134828965,1.3854424,2.4788911,-4.321261
18932,1700134828984,2.2602015,2.5912905,-3.0176742
18933,1700134829006,2.5986207,2.7867672,-2.003638
18934,1700134829024,2.814867,2.637716,-0.32253686
18935,1700134829044,2.565634,2.316401,0.70249504
18936,1700134829063,1.3158038,1.767844,2.1514673
18937,1700134829085,-1.0079277,2.140472,3.6480873
18938,1700134829103,-2.8637362,2.4104743,4.8710394
18939,1700134829124,-4.034154,1.9792033,5.8814106
18940,1700134829144,-4.3395867,1.6420058,6.3774333
18941,1700134829164,-4.3689084,0.8943067,7.049385
18942,1700134829184,-3.4526103,-0.14049901,6.9504247
18943,1700134829203,-3.2351422,-3.6529741,5.235115
18944,1700134829224,-2.5729644,-3.3426547,6.0597835
18945,1700134829244,-3.0176742,-3.0201178,3.9205332
18946,1700134829263,-3.739717,-3.580892,2.1844542
18947,1700134829283,-3.3194418,-3.8203511,1.2486086
18948,1700134829303,-2.0476203,-3.813021,0.816116
18949,1700134829325,-1.2596041,-4.0634756,0.73914695
18950,1700134829344,-1.2168436,-4.3224826,0.8210029
18951,1700134829363,-0.9016371,-3.7836993,0.64751714
18952,1700134829383,-0.75502944,-3.1349604,-0.017104227
18953,1700134829404,-1.047023,-1.7776178,-0.29810223
18954,1700134829425,-1.6554449,-0.14905111,-0.9309586
18955,1700134829443,-2.0402899,0.96883225,-1.2351695
18956,1700134829463,-1.3475688,1.645671,-1.813048
18957,1700134829483,-0.752586,2.792876,-2.4764478
18958,1700134829504,-0.50335294,4.2418485,-3.5124753
18959,1700134829526,-0.10629055,4.3921213,-4.9199085
18960,1700134829543,1.0677924,4.0182714,-5.1569242
18961,1700134829568,1.8362609,3.612657,-5.5148916
18962,1700134829585,2.021964,3.4342844,-5.6187387
18963,1700134829604,2.3640485,2.886949,-5.303532
18964,1700134829626,1.8765781,2.6230555,-4.8966956
18965,1700134829644,1.1887437,2.4483478,-4.310265
18966,1700134829666,1.2571607,2.4092526,-3.6212091
18967,1700134829685,2.2467623,2.1135938,-2.6096163
18968,1700134829705,3.2388074,2.3640485,-1.5076154
18969,1700134829727,2.7806585,1.772731,0.35185838
18970,1700134829743,1.4856243,1.142318,1.1618657
18971,1700134829762,-0.38362336,1.2351695,2.4349089
18972,1700134829784,-2.157576,1.5137241,4.1123447
18973,1700134829803,-2.8991663,1.4465289,5.4525833
18974,1700134829824,-3.0763173,0.9896017,6.3713245
18975,1700134829844,-2.9907963,-0.21991149,5.6505036
18976,1700134829863,-4.5032988,-3.345098,4.632802
18977,1700134829882,-2.6780334,-1.7385225,6.0781093
18978,1700134829902,-2.6316075,-2.1905627,3.7592647
18979,1700134829928,-3.1569517,-2.5851817,2.2968533
18980,1700134829943,-2.6988027,-3.0812044,1.4819591
18981,1700134829966,-1.5247196,-3.1923819,1.2669345
18982,1700134829983,-0.5571091,-3.6004398,1.2901474
18983,1700134830002,-0.3640757,-3.9816196,1.3548992
18984,1700134830023,-0.55833083,-4.202753,1.1801916
18985,1700134830043,-0.8136725,-4.1233406,0.55833083
18986,1700134830063,-1.1007792,-2.8771753,-0.07574729
18987,1700134830084,-1.2999213,-1.7311921,-0.5681047
18988,1700134830103,-1.6297885,-0.48502702,-1.4355333
18989,1700134830126,-1.3377949,0.80756384,-2.1416936
18990,1700134830143,-0.96883225,1.8325957,-3.0653217
18991,1700134830166,-0.63407815,3.0262265,-3.980398
18992,1700134830181,-0.5571091,4.075693,-4.889365
18993,1700134830202,-0.112399206,4.162436,-5.312084
18994,1700134830223,0.7171558,3.7250562,-5.258328
18995,1700134830243,1.2522738,3.5515707,-5.3340755
18996,1700134830262,1.8350391,3.050661,-4.97733
18997,1700134830282,1.7507398,2.8344147,-4.7305403
18998,1700134830304,1.5748106,2.702468,-4.1783185
18999,1700134830331,1.8997909,2.5082128,-3.4061847
19000,1700134830343,2.978579,2.3176227,-2.298075
19001,1700134830361,3.3108897,1.7849482,-1.677436
19002,1700134830381,3.032335,1.4110987,-0.82344633
19003,1700134830401,1.7947221,1.4819591,0.75136423
19004,1700134830422,-0.24678956,0.6560693,2.3872614
19005,1700134830441,-0.95417154,0.6817256,3.4012976
19006,1700134830462,-2.0916026,1.1606439,4.9834385
19007,1700134830484,-2.8906143,1.4526376,6.2222733
19008,1700134830501,-2.9895744,1.3756685,7.026172
19009,1700134830522,-3.0677652,-0.21380283,6.00114
19010,1700134830542,-5.475796,-2.783102,6.0585613
19011,1700134830563,-3.1630602,-1.097114,6.3346725
19012,1700134830583,-2.485,-1.8106046,3.6248744
19013,1700134830602,-3.2351422,-2.0231857,2.1551325
19014,1700134830625,-2.3151793,-2.483778,1.4330899
19015,1700134830643,-0.75625116,-2.8344147,1.3524556
19016,1700134830664,-0.25167647,-3.4538321,1.6041322
19017,1700134830685,-0.408058,-3.7690387,1.8338175
19018,1700134830704,-0.6230826,-3.3609805,1.4440855
19019,1700134830723,-0.60231316,-2.9260445,0.63407815
19020,1700134830741,-0.9297369,-2.733011,0.010995574
19021,1700134830764,-1.4844025,-2.1038198,-0.675617
19022,1700134830784,-1.9547688,-0.6939429,-1.1508701
19023,1700134830804,-1.8069394,0.28099802,-1.971873
19024,1700134830823,-1.46852,1.2999213,-2.787989
19025,1700134830843,-1.0506883,2.533869,-3.5014796
19026,1700134830862,-0.5204572,3.6957347,-4.065919
19027,1700134830883,0.42271876,4.3310347,-4.577824
19028,1700134830906,1.2632693,4.6303587,-4.935791
19029,1700134830930,2.112372,4.0598106,-4.7928486
19030,1700134830944,2.5314255,3.7873645,-4.7757444
19031,1700134830963,2.3554964,3.7103956,-4.719545
19032,1700134830981,1.8533652,3.2852333,-4.2455134
19033,1700134831001,1.7641789,2.8112018,-3.8252382
19034,1700134831023,2.204002,2.1270328,-3.1471777
19035,1700134831042,2.9394836,2.1673498,-2.221106
19036,1700134831061,2.6303856,1.6896533,-1.2547172
19037,1700134831082,1.4465289,1.4514158,0.002443461
19038,1700134831101,0.24312437,1.1557571,1.0274754
19039,1700134831122,-1.2425,1.1007792,2.1184807
19040,1700134831141,-2.008525,1.3842206,3.5979962
19041,1700134831165,-2.4898868,1.4709635,4.679228
19042,1700134831181,-2.6352727,1.8350391,5.84598
19043,1700134831204,-2.9126055,1.5259414,6.269921
19044,1700134831221,-5.474574,-1.033584,5.5967474
19045,1700134831242,-5.4379225,-0.9602802,5.5735345
19046,1700134831261,-2.5118778,-1.0115929,4.191757
19047,1700134831280,-1.9547688,-1.1753048,2.9907963
19048,1700134831302,-1.8264871,-1.7971655,1.7446312
19049,1700134831321,-1.6334536,-2.660929,1.0946705
19050,1700134831341,-1.2046263,-3.2693508,0.78801614
19051,1700134831362,-0.8246681,-3.8398988,0.7733554
19052,1700134831381,-0.7452556,-4.161214,0.7623598
19053,1700134831401,-0.9627236,-4.1318927,0.5009095
19054,1700134831423,-1.6358972,-4.0084977,-0.07941248
19055,1700134831447,-2.4336872,-3.0042353,-0.37995818
19056,1700134831460,-2.5216517,-1.6236799,-1.0580186
19057,1700134831481,-1.9645426,-0.5131268,-1.5515977
19058,1700134831501,-1.3585643,0.32498032,-2.0292943
19059,1700134831521,-0.98715824,2.1563544,-2.5118778
19060,1700134831540,-0.8503244,3.2155948,-2.8258626
19061,1700134831559,-0.28588495,4.68778,-3.7250562
19062,1700134831580,1.0555751,4.3029346,-4.3078218
19063,1700134831606,1.5894713,3.6395352,-4.324926
19064,1700134831622,1.4819591,3.5589008,-4.5069637
19065,1700134831641,1.8521434,3.4733799,-4.579046
19066,1700134831660,2.6462681,3.114191,-4.1758747
19067,1700134831679,2.7269025,2.8747318,-3.6920695
19068,1700134831701,2.5277603,2.605951,-3.2339206
19069,1700134831720,2.1502457,1.6835446,-2.1697934
19070,1700134831745,1.6383406,1.8106046,-1.4367551
19071,1700134831759,1.5699236,1.568702,-0.32620203
19072,1700134831780,1.2266175,1.7421877,0.17715092
19073,1700134831800,0.2919936,1.7519615,1.736079
19074,1700134831820,-0.5314528,1.6896533,3.2400293
19075,1700134831840,-1.4856243,1.6627752,4.5387287
19076,1700134831860,-2.670703,1.7006488,5.8899627
19077,1700134831883,-3.4025195,1.5564847,6.7060785
19078,1700134831901,-3.35365,-0.6059783,5.480683
19079,1700134831920,-4.753753,-4.376239,4.356691
19080,1700134831939,-2.886949,-1.3695599,4.5032988
19081,1700134831959,-2.6853635,-2.1160371,2.2137756
19082,1700134831980,-2.5448647,-2.4043655,1.3316863
19083,1700134832000,-2.3603833,-2.93704,0.6963864
19084,1700134832021,-1.6249015,-3.2937853,0.48624873
19085,1700134832039,-1.0897835,-3.472158,0.3921755
19086,1700134832061,-0.7819075,-3.8056905,0.344528
19087,1700134832082,-0.5180137,-4.065919,0.14172074
19088,1700134832099,-0.59498274,-2.8942795,-0.34208453
19089,1700134832122,-0.6365216,-1.568702,-0.5009095
19090,1700134832139,-1.0910053,-1.210735,-0.73426
19091,1700134832161,-1.0348058,-0.30665436,-0.95539325
19092,1700134832179,-0.37507126,0.7257079,-1.4758505
19093,1700134832201,-0.25778514,1.1679744,-2.1099286
19094,1700134832221,-0.54244834,1.8228219,-3.177721
19095,1700134832239,0.13439035,2.9309313,-4.0365977
19096,1700134832259,1.0885619,3.0616567,-4.2455134
19097,1700134832280,1.9865338,2.7989845,-4.194201
19098,1700134832300,1.8643607,2.7989845,-4.3041563
19099,1700134832320,1.3536774,2.8612928,-4.1673226
19100,1700134832339,1.1472049,2.8735101,-3.9217548
19101,1700134832358,1.3182472,3.1166344,-3.4697146
19102,1700134832379,1.5222762,2.9846876,-2.7782152
19103,1700134832400,1.8435913,2.5986207,-2.0317378
19104,1700134832419,2.0781636,2.406809,-1.6224581
