gender,Male,height,165
count,timestamp,x,y,z
12523,1700300609624,0.70005155,0.27488935,-0.36041048
12524,1700300609672,0.50579643,0.1160644,-0.2773328
12525,1700300609673,0.18081611,-0.087964594,-0.28099802
12526,1700300609689,0.028099801,-0.4007276,-0.5864306
12527,1700300609707,-0.9822713,-1.9303342,0.39706242
12528,1700300609724,-1.0421361,-1.2168436,-0.956615
12529,1700300609740,-0.014660766,-0.77457714,-0.29810223
12530,1700300609766,0.017104227,-0.81245077,-0.31642818
12531,1700300609787,0.13561209,-0.63285637,0.080634214
12532,1700300609804,-0.02565634,-0.56077427,0.3885103
12533,1700300609820,-0.54000485,-0.59864795,0.6169739
12534,1700300609838,-0.9236283,-0.5742133,0.8222246
12535,1700300609870,-1.2534955,-0.49968776,1.1826351
12536,1700300609885,-1.8936822,-0.5290093,1.6615535
12537,1700300609905,-2.7391198,-0.5925393,1.9559906
12538,1700300609920,-3.7568212,-0.20280726,2.3445008
12539,1700300609939,-5.1239376,-0.29443705,2.4507914
12540,1700300609960,-6.378655,-0.93584555,2.0744984
12541,1700300609983,-7.75921,-2.2565362,1.7873917
12542,1700300610003,-8.487362,-2.3041837,1.8741345
12543,1700300610021,-8.49347,-1.9511036,2.502104
12544,1700300610038,-8.543561,-2.1563544,3.794695
12545,1700300610059,-7.1959925,-3.4709363,4.276057
12546,1700300610089,-3.7763689,-3.2534683,4.1135664
12547,1700300610103,-2.20278,-4.7256536,3.9559634
12548,1700300610123,-0.9822713,-2.525317,3.4379497
12549,1700300610138,-0.8527679,-3.0836477,1.1520919
12550,1700300610169,-0.49235737,-3.0115657,1.047023
12551,1700300610177,-0.24678956,-2.7073548,0.9639453
12552,1700300610200,-0.31398472,-1.3316863,0.6401868
12553,1700300610226,-0.06719518,-0.23823744,0.119729586
12554,1700300610240,0.6059783,0.6414085,-0.6768387
12555,1700300610259,1.2999213,1.1459832,-1.328021
12556,1700300610276,1.3768903,1.6896533,-1.17897
12557,1700300610300,0.8026769,1.9401081,-0.84299403
12558,1700300610328,0.04642576,2.6145031,-0.5852089
12559,1700300610349,0.9859365,2.8832839,-0.593761
12560,1700300610357,3.7653735,3.0604348,-2.9358184
12561,1700300610376,2.8906143,-0.43982297,-3.1080823
12562,1700300610399,-0.82344633,-2.8295279,-3.9742892
12563,1700300610421,-1.5259414,-2.2589796,-3.9559634
12564,1700300610440,-0.6450737,-0.96883225,-2.162463
12565,1700300610458,-0.4642576,-1.1178834,-0.8503244
12566,1700300610486,-0.5742133,-1.0067059,0.4801401
12567,1700300610507,-0.54367006,-0.6536258,1.4941764
12568,1700300610524,-0.7806858,-0.4361578,2.9455922
12569,1700300610541,0.24801129,-0.21135938,3.938859
12570,1700300610558,0.9822713,-0.33841935,4.582711
12571,1700300610586,1.2718215,0.95905846,5.6309557
12572,1700300610613,1.4795157,2.0867157,6.393316
12573,1700300610625,2.1453588,5.2937584,7.407352
12574,1700300610640,1.1032226,2.6096163,9.525832
12575,1700300610657,-0.8136725,-0.07941248,1.1472049
12576,1700300610688,-3.594331,-0.893085,-0.23945917
12577,1700300610720,-6.4495153,-1.9792033,0.39706242
12578,1700300610720,-5.952271,-2.3115141,1.3732251
12579,1700300610759,-4.5277333,-2.9297097,1.6175711
12580,1700300610760,-2.0867157,-1.7128662,0.6817256
12581,1700300610776,-0.84299403,-0.48380527,-0.9663888
12582,1700300610796,-0.376293,-0.4728097,-1.3304645
12583,1700300610820,0.21746802,-0.16249016,-1.7788396
12584,1700300610844,0.41905355,0.3042109,-1.9767599
12585,1700300610861,0.13439035,0.7122689,-2.0781636
12586,1700300610877,-0.8222246,1.4159856,-2.4642303
12587,1700300610895,-1.6493362,2.4630086,-3.2155948
12588,1700300610919,1.1533136,2.3677137,-3.662748
12589,1700300610940,4.2137485,-0.54733527,-6.477615
12590,1700300610957,4.4409904,-1.0262536,-8.806233
12591,1700300610975,4.1856484,-1.4123205,-8.525235
12592,1700300610995,3.2876768,-1.5479325,-7.597942
12593,1700300611017,1.9767599,-1.3035865,-5.502674
12594,1700300611044,0.874759,-1.0567969,-2.9431489
12595,1700300611057,-1.7067575,-0.2724459,-0.02687807
12596,1700300611076,-3.8741074,1.0543534,3.0396655
12597,1700300611095,-4.4642034,0.77457714,6.378655
12598,1700300611127,-3.0750957,-0.30909783,7.2766266
12599,1700300611140,-1.5564847,-0.8063421,8.1330595
12600,1700300611252,-0.9016371,0.58032197,9.627236
12601,1700300611253,-1.2144,1.858252,11.821465
12602,1700300611253,-1.8961257,-0.13439035,12.888035
12603,1700300611253,-0.16126843,-2.0463986,10.5850725
12604,1700300611254,1.1508701,-0.09162979,6.0084705
12605,1700300611290,-2.9529226,0.17104226,-0.17348573
12606,1700300611290,-3.7250562,-0.9224065,-1.0995574
12607,1700300611417,-2.6535985,-2.5631905,0.05497787
12608,1700300611417,-2.235767,-3.169169,1.8887954
12609,1700300611418,-1.3414601,-2.3005185,1.3390167
12610,1700300611418,-0.12095132,-0.44715336,0.062308256
12611,1700300611418,0.07941248,-0.1160644,-0.7464773
12612,1700300611419,-0.19425514,0.30665436,-1.1960741
12613,1700300611419,0.080634214,0.6914995,-1.4929546
12614,1700300611438,0.32620203,1.1691961,-1.8167132
12615,1700300611460,0.12705997,2.4349089,-2.2687535
12616,1700300611501,0.89552844,4.2174134,-2.4581218
12617,1700300611502,4.607146,1.2950343,-0.32498032
12618,1700300611720,4.3945646,-0.9077458,-4.5497246
12619,1700300611730,2.1954496,-1.4013249,-6.1489697
12620,1700300611738,1.2767084,-0.8356637,-6.8429127
12621,1700300611739,1.5980235,-0.3359759,-6.8673472
12622,1700300611739,1.8863518,-1.0189233,-4.7488666
12623,1700300611740,1.174083,-1.6175711,-2.9113839
12624,1700300611740,-2.5240953,0.13194689,-1.2681563
12625,1700300611740,-2.878397,0.9456194,4.3139305
12626,1700300611745,-3.5870006,0.019547688,4.987104
12627,1700300611746,-3.9938369,0.15760323,4.9895473
12628,1700300611746,-3.5906658,0.4361578,6.6339965
12629,1700300611747,-2.1612413,0.45814893,7.1459017
12630,1700300611756,-0.9431759,0.14294247,8.855103
12631,1700300611786,-0.44837508,-1.2351695,8.758586
12632,1700300611804,-1.1117748,-1.105666,6.77083
12633,1700300611822,-3.281568,-0.8552113,6.151413
12634,1700300611840,-3.6346483,-1.1362094,2.615725
12635,1700300611854,-2.5986207,-1.0580186,0.056199603
12636,1700300611881,-0.42394048,-0.8210029,1.5234979
12637,1700300611894,1.0555751,-1.3390167,1.0934488
12638,1700300611913,0.50579643,-1.9608774,0.50823987
12639,1700300611937,-0.5412266,-0.56321776,0.43127087
12640,1700300611982,0.10873401,0.26633725,0.23579398
12641,1700300611983,0.7806858,-0.032986723,-1.2718215
12642,1700300611992,1.3939945,0.79290307,-2.4923303
12643,1700300612031,2.0549507,1.205848,-3.4110715
12644,1700300612032,3.1532865,2.488665,-4.002389
12645,1700300612054,4.225966,4.5252895,-5.081177
12646,1700300612079,3.2351422,-1.0103711,-7.600385
12647,1700300612092,1.3011429,-1.4782939,-9.215513
12648,1700300612112,1.2583824,-0.5119051,-11.404854
12649,1700300612132,4.189314,0.5729916,-11.104308
12650,1700300612153,5.89485,0.32986724,-9.866695
12651,1700300612172,5.4012704,-0.19792034,-9.108001
12652,1700300612197,3.2290337,-0.36774087,-8.080525
12653,1700300612213,1.0225884,-0.9492846,-7.1923275
12654,1700300612234,0.14172074,-0.7122689,-4.8014007
12655,1700300612262,-0.50579643,0.6010914,-0.5375614
12656,1700300612274,-0.78801614,0.9297369,2.6584857
12657,1700300612292,-0.70371675,0.8344419,4.4324384
12658,1700300612312,-0.50335294,0.8197812,5.6272907
12659,1700300612334,0.095294975,1.3121386,6.500828
12660,1700300612356,-1.1838568,2.8930578,6.3493333
12661,1700300612376,0.9602802,2.003638,5.900958
12662,1700300612394,0.94806284,-0.47769663,2.1038198
12663,1700300612412,-0.9370673,-1.9376645,0.55833083
12664,1700300612433,-1.4062119,-3.2974505,0.6230826
12665,1700300612452,-1.6249015,-3.2669072,0.61086524
12666,1700300612472,-1.6896533,-2.0683897,0.06841691
12667,1700300612491,-1.2473868,-0.8014552,0.111177474
12668,1700300612511,-1.1557571,-0.73426,-0.02443461
12669,1700300612533,-1.6358972,-0.9859365,-0.46303585
12670,1700300612552,-2.2602015,-0.5644395,-0.62796944
12671,1700300612573,-2.6731462,0.095294975,-0.6047566
12672,1700300612592,-3.2656856,0.44104472,-0.675617
12673,1700300612611,-4.3395867,0.8014552,-0.5546656
12674,1700300612632,-3.739717,1.3866642,0.09285152
12675,1700300612654,0.64751714,3.5576792,-1.3793337
12676,1700300612671,7.040833,6.1355305,-3.694513
12677,1700300612692,7.156897,4.5301766,-5.604078
12678,1700300612711,5.621182,0.29443705,-4.9883256
12679,1700300612732,2.7488935,-1.7690657,-4.963891
12680,1700300612751,-0.27977628,-1.7849482,-4.3493605
12681,1700300612773,-1.3524556,-1.577254,-3.8582249
12682,1700300612791,-1.5442673,-0.9859365,-2.180789
12683,1700300612812,-0.0720821,-0.25045475,0.1881465
12684,1700300612832,-0.056199603,0.1881465,2.3420575
12685,1700300612853,-0.61208695,-0.16249016,2.8735101
12686,1700300612872,-0.3213151,-0.3933972,3.5479054
12687,1700300612892,0.172264,-0.42760566,4.191757
12688,1700300612912,0.09773844,-0.037873644,4.8331656
12689,1700300612931,0.17837265,0.8246681,5.2571063
12690,1700300612952,4.139223,0.7892379,5.5368824
12691,1700300612973,8.440936,-2.0073032,4.192979
12692,1700300612991,4.8710394,-3.5259142,2.71102
12693,1700300613014,-1.2217305,-3.9999456,1.9425515
12694,1700300613031,-5.635843,-3.6932912,1.4025466
12695,1700300613051,-6.4409633,-3.0677652,1.102001
12696,1700300613071,-4.2369614,-2.0390682,0.8588765
12697,1700300613091,-1.9449949,-1.1569787,0.18936823
12698,1700300613110,-0.44837508,-0.48624873,-0.43371433
12699,1700300613132,0.31642818,0.12217305,-0.8772025
12700,1700300613152,0.10140363,0.5852089,-1.1068878
12701,1700300613173,-0.8564331,1.1459832,-1.2241739
12702,1700300613192,-1.9144517,1.6102408,-1.5381587
