gender,Male,height,180
count,timestamp,x,y,z
0,1700739616169,0.4285621,3.7110126,8.925584
1,1700739616170,0.20111294,4.1611223,9.085996
2,1700739616171,0.47644615,3.8355112,9.222465
3,1700739616190,0.29448682,4.086902,9.107543
4,1700739616211,0.1316811,3.8187518,9.006987
5,1700739616231,-0.20829555,4.015076,8.664616
6,1700739616251,0.11252748,4.343082,8.0684595
7,1700739616270,0.17477672,3.9360676,7.501034
8,1700739616291,0.31124622,3.2393548,7.2233067
9,1700739616311,0.31364042,3.0765493,7.1275387
10,1700739616333,-0.009576807,3.3279405,6.9862804
11,1700739616350,-0.34237084,3.6272156,6.789956
12,1700739616370,-0.5602432,4.012682,6.655881
13,1700739616390,-0.78290397,3.904943,6.799533
14,1700739616412,-1.4939818,3.7948096,7.007828
15,1700739616432,-1.7310078,3.3327289,6.847417
16,1700739616451,-1.7501614,2.4516625,6.337452
17,1700739616470,-2.0805612,1.9009962,5.291186
18,1700739616491,-2.552219,2.0015526,4.4675803
19,1700739616511,-3.2273839,0.60573304,5.0661306
20,1700739616531,-4.6710877,-1.7429788,6.634333
21,1700739616551,-5.1882353,-2.9783869,6.9168487
22,1700739616571,-5.257667,-3.052607,5.4324436
23,1700739616590,-5.12838,-3.2249897,3.763685
24,1700739616613,-6.5241995,-4.0557775,4.0198646
25,1700739616631,-6.907272,-6.5002575,5.3725886
26,1700739616652,-8.439561,-5.2265425,4.489128
27,1700739616670,-9.011775,-6.2584434,2.8299465
28,1700739616695,-9.01417,-8.700529,4.015076
29,1700739616714,-10.864887,-10.16578,4.8147397
30,1700739616733,-13.6014595,-13.8959465,6.0118403
31,1700739616751,-14.839262,-17.918205,7.03177
32,1700739616772,-13.570335,-20.836737,7.7572136
33,1700739616790,-13.898341,-21.732168,9.536105
34,1700739616812,-10.589554,-21.550209,9.797073
35,1700739616831,-7.410054,-19.797653,9.081207
36,1700739616852,-3.301604,-16.543934,8.094796
37,1700739616870,-2.0015526,-13.79539,7.771579
38,1700739616894,0.91219085,-12.346898,8.544906
39,1700739616915,1.0271125,-9.351752,7.843405
40,1700739616933,3.1555579,-7.728483,6.933608
41,1700739616951,2.870648,-5.8442464,5.389348
42,1700739616972,1.99437,-4.6040497,4.807557
43,1700739616991,1.8531121,-3.857059,4.6471453
44,1700739617013,1.2665327,-4.185065,4.417302
45,1700739617032,1.115698,-4.1132383,4.630386
46,1700739617052,1.127669,-4.3143516,4.5034933
47,1700739617071,1.4748282,-4.7860093,4.3382936
48,1700739617094,1.0127473,-7.2831616,4.268862
49,1700739617117,-0.5626374,-15.136143,4.876989
50,1700739617132,-4.6591167,-26.812664,2.0925324
51,1700739617151,-18.409018,-33.080685,-2.944868
52,1700739617172,-29.14701,-27.255592,-6.919243
53,1700739617192,-25.349808,-21.720198,-9.100361
54,1700739617213,-22.048203,-15.301343,-9.232041
55,1700739617232,-20.190304,-9.346964,-9.49301
56,1700739617253,-15.308526,-3.9025488,-9.832987
57,1700739617272,-11.484985,-0.21068975,-8.743625
58,1700739617294,-9.210494,2.7389667,-7.1514807
59,1700739617314,-9.272743,3.6655228,-5.6431336
60,1700739617333,-10.460267,3.9839516,-5.149928
61,1700739617352,-11.760319,4.8985367,-3.892972
62,1700739617373,-12.3876,4.1946416,-3.205836
63,1700739617394,-14.226347,3.406949,-5.8226986
64,1700739617415,-15.605407,2.3678656,-6.8402343
65,1700739617433,-15.160085,-0.94570965,-4.7261543
66,1700739617453,-15.9262295,-5.805939,-2.540248
67,1700739617472,-17.566257,-14.085089,-2.7269957
68,1700739617494,-12.287044,-19.797653,-4.608838
69,1700739617514,-9.787497,-22.606052,-2.5570073
70,1700739617533,-5.2361193,-21.095312,-0.9911995
71,1700739617552,-2.5139117,-17.171215,-1.7477672
72,1700739617574,-1.0845734,-15.313314,-0.40222588
73,1700739617594,-1.3144168,-13.792996,0.095768064
74,1700739617615,-1.9153614,-10.292673,0.9624691
75,1700739617632,-0.51954174,-7.5968018,1.0247183
76,1700739617653,1.1372458,-5.1786585,0.21787235
77,1700739617673,2.468422,-3.5745432,-0.33997664
78,1700739617694,2.7126305,-2.6599581,-0.37828386
79,1700739617714,2.9855695,-2.540248,-0.11731588
80,1700739617734,2.6623523,-2.6072857,-0.18435353
81,1700739617753,2.1930888,-3.7325604,0.06943185
82,1700739617774,-0.0023942017,-7.290344,1.9129672
83,1700739617794,-2.5139117,-10.031705,1.6112977
84,1700739617816,-6.0285997,-16.788143,-2.4157495
85,1700739617833,-19.883844,-25.321077,-6.6750345
86,1700739617854,-34.246662,-28.945898,-7.153875
87,1700739617873,-26.180595,-22.998701,-6.457162
88,1700739617896,-23.563734,-14.056358,-6.8785415
89,1700739617915,-20.41057,-6.325481,-8.76996
90,1700739617956,-15.239094,-0.4165911,-7.524976
91,1700739617957,-11.808203,4.0533834,-5.011064
92,1700739617974,-9.485827,5.8801594,-3.6104562
93,1700739617998,-8.961497,7.1395097,-2.9281087
94,1700739618015,-8.331821,6.825869,-3.2465374
95,1700739618044,-9.088389,5.9519854,-4.050989
96,1700739618060,-9.3421755,7.6734166,-4.7070007
97,1700739618128,-9.160215,7.5082164,-5.8681884
98,1700739618155,-10.022128,4.594473,-5.509058
99,1700739618155,-10.603919,2.3463178,-6.457162
100,1700739618156,-11.997345,1.1587936,-6.6079965
101,1700739618157,-17.283743,-3.9097314,-6.232107
102,1700739618226,-19.132067,-10.160992,-8.061277
103,1700739618226,-16.960526,-20.913351,-7.8027034
104,1700739618229,-17.614141,-29.767109,-2.5091233
105,1700739618278,-17.381905,-28.316223,-4.060566
106,1700739618280,-9.356541,-18.911798,-4.417302
107,1700739618280,-5.7843914,-12.315774,-1.3000516
108,1700739618300,-2.621651,-8.094796,-0.09816227
109,1700739618317,0.1412579,-4.3382936,0.7206547
110,1700739618350,2.2026656,-0.9911995,1.3335704
111,1700739618368,4.5418005,0.6607997,1.3192052
112,1700739618378,6.0716953,0.59136784,0.5674258
113,1700739618394,6.493075,0.21787235,0.59855044
114,1700739618423,6.0980315,-0.5746084,0.7302315
115,1700739618435,5.1355624,-2.4612393,1.1372458
116,1700739618478,3.3159695,-4.4436383,1.127669
117,1700739618501,1.2521675,-5.911284,1.553837
118,1700739618501,-0.2777274,-12.897565,0.6919243
119,1700739618519,-3.7924154,-21.782448,-4.5274353
120,1700739618547,-25.462336,-24.605211,-9.598354
121,1700739618557,-33.49249,-23.15672,-10.175357
122,1700739618577,-28.244398,-20.286072,-8.860941
123,1700739618596,-22.443247,-11.528081,-10.251971
124,1700739618617,-17.377115,-6.655881,-9.215282
125,1700739618639,-14.039598,-2.8107927,-6.483498
126,1700739618666,-12.112267,0.89064306,-4.537012
127,1700739618677,-10.266336,4.414908,-2.8203697
128,1700739618698,-8.046912,6.543353,-2.8682537
129,1700739618716,-6.9407907,5.8705826,-3.0334535
130,1700739618736,-7.240066,6.3302693,-2.4229321
131,1700739618755,-7.563283,7.029376,-3.3423057
132,1700739618798,-8.334216,8.082825,-4.7046065
133,1700739618798,-10.019734,5.12838,-5.614403
134,1700739618817,-11.209652,4.321534,-5.7484784
135,1700739618835,-13.984532,0.8523358,-6.517017
136,1700739618858,-17.647661,-6.8809357,-8.3150625
137,1700739618876,-19.103334,-14.425065,-6.5601125
138,1700739618898,-17.513586,-22.093693,-2.0135236
139,1700739618917,-13.986926,-23.96596,-2.4875755
140,1700739618939,-9.308656,-20.123266,-3.8067808
141,1700739618956,-5.5018754,-16.129736,-2.432509
142,1700739618978,-3.809175,-12.552799,0.6895301
143,1700739618996,-2.396596,-8.137892,3.0358477
144,1700739619019,-1.1228806,-5.0374002,3.1771057
145,1700739619037,0.82599956,-2.7389667,1.4317327
146,1700739619058,2.327164,-1.1875241,-0.5410896
147,1700739619078,2.7269957,-0.60573304,-2.006341
148,1700739619100,3.0933087,-1.4437037,-1.1851299
149,1700739619118,2.6623523,-4.177882,2.6360161
150,1700739619138,2.4301147,-7.6351094,4.5274353
151,1700739619157,2.4109612,-8.844181,3.4883518
152,1700739619180,1.7764976,-13.421895,0.8571242
153,1700739619197,-0.6703765,-21.389797,-0.4285621
154,1700739619218,-3.1411927,-24.241293,-1.8866309
155,1700739619237,-17.609354,-27.145458,-5.770026
156,1700739619258,-28.670565,-28.730421,-9.040505
157,1700739619278,-28.05765,-22.256498,-12.684481
158,1700739619299,-23.956383,-13.771448,-13.687651
159,1700739619319,-20.144814,-6.2368956,-13.611036
160,1700739619339,-16.361975,1.3718776,-13.251906
161,1700739619358,-12.811374,7.843405,-10.668563
162,1700739619380,-10.891224,10.771513,-7.5345526
163,1700739619399,-9.77792,10.599131,-7.050924
164,1700739619419,-10.3453455,10.840945,-7.2209125
165,1700739619438,-10.457873,9.763555,-6.136339
166,1700739619459,-10.733206,8.145074,-5.233725
167,1700739619479,-11.745954,6.145916,-5.056554
168,1700739619500,-12.073959,2.9903579,-4.1060557
169,1700739619520,-15.064317,-0.8523358,-3.5362358
170,1700739619538,-18.073828,-10.730812,-4.7189717
171,1700739619559,-19.871874,-18.540697,-7.9966335
172,1700739619581,-21.241358,-27.87569,-6.167464
173,1700739619598,-15.672444,-29.707254,-2.5067291
174,1700739619620,-13.057976,-26.537333,-2.1883004
175,1700739619640,-8.221688,-20.846313,-1.508347
176,1700739619659,-4.31914,-14.350845,-0.2657564
177,1700739619681,-1.7741034,-9.727641,2.2337902
178,1700739619700,-0.21068975,-6.517017,3.2728736
179,1700739619718,1.3096284,-4.405331,2.6839
180,1700739619738,2.966416,-2.4875755,1.946486
181,1700739619758,3.9743748,-0.82360536,1.5610195
182,1700739619778,4.223372,-0.21787235,1.8363527
183,1700739619798,4.0054994,-1.1779473,2.456451
184,1700739619820,3.8522706,-2.2720973,2.4468741
185,1700739619838,2.8778305,-2.861071,2.2505496
186,1700739619859,1.7286136,-6.5146227,1.7357962
187,1700739619878,0.3878607,-16.725893,1.4676456
188,1700739619899,-2.9017725,-27.281929,-3.5697548
189,1700739619919,-27.26517,-36.106956,-6.706159
190,1700739619939,-24.842237,-32.72395,-6.531382
191,1700739619958,-24.679432,-23.161507,-8.535329
192,1700739619980,-24.013844,-14.777013,-10.579977
193,1700739620001,-18.770542,-6.9120603,-10.833763
194,1700739620020,-16.831238,-0.80924016,-10.077195
195,1700739620040,-13.615825,2.1691468,-7.860164
196,1700739620060,-11.410766,6.775591,-6.0884547
197,1700739620081,-9.734824,10.223241,-6.789956
198,1700739620100,-8.391677,12.86644,-7.7093296
199,1700739620120,-8.4347725,12.828133,-7.3789296
200,1700739620140,-9.830592,12.914324,-5.683835
201,1700739620160,-11.413159,11.449073,-4.711789
202,1700739620180,-12.65575,8.820239,-6.8282633
203,1700739620199,-15.107412,4.900931,-7.524976
204,1700739620221,-19.589357,0.58897364,-4.9703627
205,1700739620240,-21.732168,-7.8290396,-8.7532015
206,1700739620261,-26.424805,-23.405716,-12.51928
207,1700739620280,-21.830332,-33.889927,-6.493075
208,1700739620301,-17.530344,-39.16914,0.7685388
209,1700739620322,-11.971008,-29.554026,-0.4165911
210,1700739620341,-6.160281,-19.34036,-0.48123455
211,1700739620361,-1.7405846,-12.258312,-0.02873042
212,1700739620383,1.3670892,-6.739678,0.866701
213,1700739620400,3.821146,-2.9281087,2.2864625
214,1700739620424,4.6926355,-0.60333884,2.932897
215,1700739620440,4.735731,0.33279404,2.4756045
216,1700739620461,4.975151,1.103727,1.3120226
217,1700739620481,4.972757,1.6328455,0.30645782
218,1700739620502,4.307169,1.3814543,0.107739076
219,1700739620523,4.0533834,0.22266077,0.007182605
220,1700739620542,2.9352913,-1.733402,0.78290397
221,1700739620563,2.0973208,-6.445191,0.94570965
222,1700739620582,0.48362875,-16.79293,0.059855044
223,1700739620601,-2.8107927,-30.413544,-4.0438066
224,1700739620623,-23.92047,-37.272934,-10.896012
225,1700739620643,-29.645006,-33.691208,-10.642226
226,1700739620662,-25.337837,-19.998766,-8.544906
227,1700739620683,-22.41691,-11.245565,-7.1945763
228,1700739620702,-16.603788,-4.3861775,-6.7923503
229,1700739620722,-12.37084,2.9616275,-5.753267
230,1700739620744,-10.13705,8.312668,-5.035006
231,1700739620761,-9.775525,12.0571995,-5.9064956
232,1700739620784,-9.167398,12.641385,-6.6510925
233,1700739620801,-9.44752,9.416395,-6.3805475
234,1700739620823,-10.623073,6.981492,-5.2528787
235,1700739620844,-11.274296,5.9519854,-4.8099513
236,1700739620864,-11.494562,4.060566,-5.781997
237,1700739620881,-11.77229,1.8890251,-7.359776
238,1700739620903,-13.371616,-1.1324574,-8.224083
239,1700739620923,-14.901511,-8.992621,-7.9631147
240,1700739620944,-19.469648,-21.315578,-6.5984197
241,1700739620961,-16.134525,-30.346506,-2.8514943
242,1700739620983,-10.1226845,-29.757532,2.7988217
243,1700739621001,-10.752359,-22.543802,2.6623523
244,1700739621024,-8.74123,-18.907011,-0.15083471
245,1700739621043,-4.582502,-14.434642,0.59136784
246,1700739621063,-3.3542767,-9.138668,1.8148049
247,1700739621081,-1.8100165,-4.441244,2.2266076
248,1700739621105,0.093373865,-1.127669,1.4413095
249,1700739621125,1.6472107,0.021547815,0.4357447
250,1700739621145,2.6408045,0.5722142,-0.45250413
251,1700739621164,2.992752,-0.06703765,-0.6464345
252,1700739621184,2.60968,-0.6799533,-0.48841715
253,1700739621204,2.456451,-0.9528923,-0.02873042
254,1700739621225,2.4372973,-1.0319009,-0.011971008
255,1700739621244,2.4181437,-1.0007763,-0.045489833
256,1700739621266,1.316811,-1.5993267,0.3184288
257,1700739621286,-0.007182605,-8.317456,1.757344
258,1700739621304,-1.5107412,-19.021933,1.8363527
259,1700739621323,-8.020576,-29.87006,-4.0318356
260,1700739621344,-36.004005,-40.948032,-5.1642933
261,1700739621365,-24.760834,-33.466152,-2.822764
262,1700739621384,-19.70428,-22.541409,-3.098097
263,1700739621402,-17.870321,-13.927072,-4.24492
264,1700739621427,-14.635755,-5.671864,-5.221754
265,1700739621444,-11.324574,1.2497733,-5.616797
266,1700739621464,-8.669404,5.5282116,-5.0374002
267,1700739621483,-7.7213006,9.392453,-5.3247046
268,1700739621504,-7.6973586,11.480197,-5.884948
269,1700739621523,-8.662222,12.423512,-6.0621185
270,1700739621544,-10.424355,12.79222,-7.4268136
271,1700739621564,-10.99178,10.280702,-8.224083
272,1700739621586,-12.665327,5.9663506,-7.680599
273,1700739621604,-14.197616,4.5801077,-6.9982514
274,1700739621625,-16.005238,1.4077905,-5.8681884
275,1700739621645,-17.190369,-0.15801731,-4.4723687
276,1700739621665,-19.30445,-6.291962,-5.746084
277,1700739621684,-25.05532,-21.825542,-9.011775
278,1700739621706,-20.688297,-35.86993,-3.1794999
279,1700739621724,-14.796166,-34.071884,1.7286136
280,1700739621745,-11.269507,-28.529308,1.1563994
281,1700739621765,-6.631939,-21.696257,0.7422025
282,1700739621785,-4.0174704,-15.990873,1.6304513
283,1700739621802,-3.0573955,-10.383653,2.0733786
284,1700739621826,-1.2952632,-5.4683566,2.0518308
285,1700739621845,0.062249243,-0.3854665,1.1204864
286,1700739621865,1.5873557,2.6767175,-0.46686932
287,1700739621885,3.004723,2.918532,-1.2641385
288,1700739621905,3.2465374,2.5737667,-1.1611878
289,1700739621923,2.825158,1.9249382,-0.59376204
290,1700739621945,2.4468741,0.33279404,-0.29448682
291,1700739621963,1.5442601,-2.5354595,0.5722142
292,1700739621986,1.7908629,-8.169016,0.8523358
293,1700739622005,1.2401965,-18.636467,-0.25617957
294,1700739622025,0.019153614,-24.645912,-1.6232687
295,1700739622048,-13.393165,-34.043156,-4.783615
296,1700739622064,-27.056873,-36.9976,-6.0980315
297,1700739622083,-25.227703,-30.107086,-7.7189064
298,1700739622105,-22.934057,-21.88061,-7.6015906
299,1700739622126,-19.62527,-13.192051,-7.8745294
300,1700739622146,-14.939818,-2.6120741,-8.90643
301,1700739622163,-11.269507,4.7860093,-8.523358
302,1700739622185,-9.315839,8.532935,-7.7667904
303,1700739622203,-7.728483,10.66138,-6.265626
304,1700739622226,-7.644686,11.307815,-5.2720323
305,1700739622243,-8.865729,10.939108,-5.379771
306,1700739622266,-10.546458,9.722853,-5.695806
307,1700739622283,-11.559206,8.870518,-6.184223
308,1700739622307,-12.801797,6.093243,-6.2225304
309,1700739622324,-14.446613,1.9416976,-6.667852
310,1700739622344,-15.603012,-0.8571242,-5.494693
311,1700739622368,-20.0682,-7.477092,-7.156269
312,1700739622386,-23.604435,-20.796036,-8.750807
313,1700739622405,-22.618023,-22.967577,-8.4108305
314,1700739622427,-18.387468,-33.569103,-2.4779987
315,1700739622447,-14.00608,-30.004135,-0.78290397
316,1700739622465,-9.662998,-26.690561,-2.3894134
317,1700739622484,-6.0764837,-20.949265,-1.6160861
318,1700739622506,-4.3358994,-14.683639,0.2825158
319,1700739622526,-2.4157495,-10.335769,1.6783354
320,1700739622547,-0.29209262,-6.9599442,1.5705963
321,1700739622566,1.3359646,-4.6495395,0.81402856
322,1700739622586,2.7581203,-3.040636,0.24181437
323,1700739622605,4.0533834,-1.8674773,0.4261679
324,1700739622627,4.9296613,-2.0973208,0.90021986
325,1700739622645,4.9440265,-3.0310593,1.1947067
326,1700739622666,3.9743748,-3.8402996,1.0127473
327,1700739622684,2.066196,-5.2624555,0.10055647
328,1700739622706,0.45489833,-9.888053,-0.60094464
329,1700739622726,-1.9728222,-19.52711,-0.18914193
330,1700739622747,-9.787497,-28.974628,-6.042965
331,1700739622764,-43.531376,-38.594532,-10.939108
332,1700739622787,-27.31784,-30.207644,-7.843405
333,1700739622807,-27.205315,-22.395363,-8.499416
334,1700739622827,-20.321983,-15.272613,-9.536105
335,1700739622845,-15.263036,-7.299921,-10.022128
336,1700739622868,-10.144233,-0.05746084,-7.9583263
337,1700739622886,-7.5441294,4.9703627,-4.807557
338,1700739622908,-7.240066,8.851364,-3.5984852
339,1700739622925,-7.2089415,9.445126,-4.402937
340,1700739622947,-7.5082164,9.902418,-5.781997
341,1700739622966,-8.367735,11.520899,-6.801927
342,1700739622986,-10.362105,11.398794,-6.8186865
343,1700739623006,-12.497733,9.349358,-7.065289
344,1700739623028,-13.958196,5.8825536,-8.149862
345,1700739623046,-16.235083,2.0015526,-7.038953
346,1700739623066,-19.474436,-1.7525556,-5.386954
347,1700739623086,-24.643518,-14.705187,-11.336545
348,1700739623106,-26.204538,-29.520508,-9.928755
349,1700739623125,-21.234175,-37.60812,-0.23942018
350,1700739623145,-16.701952,-31.806969,1.757344
351,1700739623165,-10.462662,-24.933216,0.1316811
352,1700739623187,-4.5681367,-16.25663,-0.2873042
353,1700739623205,-2.4109612,-13.232753,-0.007182605
354,1700739623227,0.031124622,-8.485051,1.0007763
355,1700739623245,2.0518308,-5.1140146,0.6967127
356,1700739623268,3.0119057,-3.940856,0.31124622
357,1700739623286,3.4763808,-3.3375173,0.06703765
358,1700739623308,3.7373488,-2.585738,0.20829555
359,1700739623327,3.845088,-3.0238767,0.9983821
360,1700739623349,4.1515455,-4.0557775,0.7781156
361,1700739623366,3.8546648,-4.3119574,0.80924016
362,1700739623386,3.1914709,-6.169858,0.6464345
363,1700739623405,1.7357962,-12.89517,0.19632454
364,1700739623428,-0.7517793,-28.110323,1.352724
365,1700739623447,-10.79785,-40.500317,-1.1803415
366,1700739623467,-46.23443,-44.16584,-9.021352
367,1700739623485,-29.218838,-29.479805,-8.288726
368,1700739623508,-25.503036,-18.088194,-8.271967
369,1700739623528,-22.045809,-9.323022,-9.825804
370,1700739623549,-17.056293,-1.3024458,-11.226412
371,1700739623566,-12.947843,6.9527617,-9.880871
372,1700739623588,-11.336545,13.893553,-10.005369
373,1700739623607,-10.515334,14.607024,-10.244789
374,1700739623628,-9.131485,15.95496,-10.292673
375,1700739623646,-9.397242,16.836027,-10.287885
376,1700739623668,-11.733982,12.780249,-10.299856
377,1700739623686,-13.663709,10.630256,-9.55047
378,1700739623707,-15.614984,8.173804,-8.726865
379,1700739623728,-18.066647,3.2800562,-8.580819
380,1700739623747,-21.492748,-2.042254,-7.905654
381,1700739623767,-26.010607,-14.688427,-10.266336
382,1700739623789,-29.661764,-33.267433,-6.825869
383,1700739623806,-23.417686,-40.177097,1.7166426
384,1700739623828,-15.8065195,-32.676064,1.3215994
385,1700739623846,-9.830592,-24.207773,-0.18435353
386,1700739623869,-3.8474822,-16.548721,1.3263878
387,1700739623886,-0.6847417,-10.266336,2.3199813
388,1700739623907,2.870648,-6.3087215,1.9656396
389,1700739623929,5.398925,-4.1539397,1.4939818
390,1700739623948,6.2105594,-2.8275523,1.0031705
