gender,Male,height,172
count,timestamp,x,y,z
0,1699846669929,6.2847795,6.2847795,2.1284454
1,1699846669934,6.054936,6.054936,7.2568254
2,1699846670096,4.745308,4.745308,9.212888
3,1699846670099,4.9583917,4.9583917,7.831434
4,1699846670101,5.2840033,5.2840033,8.1881695
5,1699846670103,5.4922986,5.4922986,7.9104424
6,1699846670105,5.853823,5.853823,6.1195793
7,1699846670107,5.4420204,5.4420204,6.7372837
8,1699846670111,4.6016555,4.6016555,7.690176
9,1699846670113,4.8123455,4.8123455,7.228095
10,1699846670115,5.197812,5.197812,7.45315
11,1699846670129,5.4899044,5.4899044,8.645462
12,1699846670202,5.4444146,5.4444146,9.184157
13,1699846670204,5.3079453,5.3079453,7.2927384
14,1699846670206,5.533,5.533,6.655881
15,1699846670216,5.5521536,5.5521536,7.3047094
16,1699846670277,5.2624555,5.2624555,7.833828
17,1699846670280,4.9057193,4.9057193,7.9822683
18,1699846670282,4.8506527,4.8506527,7.81228
19,1699846670290,5.0517654,5.0517654,7.3406224
20,1699846670345,5.159505,5.159505,9.291897
21,1699846670348,4.853047,4.853047,8.913613
22,1699846670350,4.915296,4.915296,8.1881695
23,1699846670412,5.3247046,5.3247046,7.627927
24,1699846670414,5.463568,5.463568,8.078036
25,1699846670415,5.1642933,5.1642933,8.037335
26,1699846670476,5.547365,5.547365,7.3190746
27,1699846670479,5.415684,5.415684,7.551312
28,1699846670480,5.410896,5.410896,7.8386164
29,1699846670541,5.08289,5.08289,8.279149
30,1699846670543,4.841076,4.841076,7.5441294
31,1699846670545,5.035006,5.035006,6.8091097
32,1699846670552,5.2289367,5.2289367,6.5265937
33,1699846670603,5.08289,5.08289,6.5505357
34,1699846670605,4.9200845,4.9200845,7.326257
35,1699846670614,4.8099513,4.8099513,8.202535
36,1699846670663,4.596867,4.596867,8.135497
37,1699846670665,4.8123455,4.8123455,8.444349
38,1699846670676,4.891354,4.891354,8.23366
39,1699846670726,5.023035,5.023035,8.010999
40,1699846670728,5.0517654,5.0517654,7.6494746
41,1699846670736,4.9703627,4.9703627,7.656657
42,1699846670786,4.9057193,4.9057193,7.8649526
43,1699846670788,6.155493,6.155493,6.05733
44,1699846670796,4.7070007,4.7070007,7.8649526
45,1699846670847,5.0613422,5.0613422,10.230424
46,1699846670858,4.6351743,4.6351743,8.686164
47,1699846670860,4.805163,4.805163,6.5864487
48,1699846670919,4.7381253,4.7381253,6.600814
49,1699846670921,4.5777135,4.5777135,8.252813
50,1699846670923,4.4556093,4.4556093,7.7308774
51,1699846670976,4.644751,4.644751,6.7492547
52,1699846670978,4.4939165,4.4939165,6.6846113
53,1699846670980,4.367024,4.367024,6.8881183
54,1699846671067,4.5681367,4.5681367,7.893683
55,1699846671069,4.4675803,4.4675803,7.1945763
56,1699846671070,4.687847,4.687847,6.253655
57,1699846671072,4.7285485,4.7285485,6.066907
58,1699846671080,4.9799395,4.9799395,7.062895
59,1699846671129,5.0517654,5.0517654,9.021352
60,1699846671131,4.9296613,4.9296613,7.9511437
61,1699846671139,4.9679685,4.9679685,6.679823
62,1699846671187,5.3486466,5.3486466,6.05733
63,1699846671189,5.1355624,5.1355624,5.530606
64,1699846671197,4.9559975,4.9559975,7.359776
65,1699846671246,5.0254292,5.0254292,8.453926
66,1699846671248,4.8003745,4.8003745,7.9750857
67,1699846671256,4.9559975,4.9559975,6.979098
68,1699846671305,4.876989,4.876989,6.5361705
69,1699846671308,5.3007627,5.3007627,5.961562
70,1699846671361,5.0493712,5.0493712,6.3087215
71,1699846671363,5.1906295,5.1906295,6.9599442
72,1699846671365,5.0374002,5.0374002,6.5936313
73,1699846671418,4.6591167,4.6591167,5.8466406
74,1699846671420,4.654328,4.654328,6.2225304
75,1699846671421,4.8578353,4.8578353,6.555324
76,1699846671479,4.829105,4.829105,6.4164605
77,1699846671481,4.699818,4.699818,6.4882865
78,1699846671483,4.6160207,4.6160207,6.6056023
79,1699846671538,4.8003745,4.8003745,6.9886746
80,1699846671540,4.879383,4.879383,6.8761473
81,1699846671542,4.996699,4.996699,6.4380083
82,1699846671705,4.9344497,4.9344497,5.93762
83,1699846671707,4.7189717,4.7189717,6.3589997
84,1699846671709,4.735731,4.735731,6.7324953
85,1699846671710,4.594473,4.594473,6.0022635
