gender,Female,height,155
count,timestamp,x,y,z
1129,1700133915209,0.059864793,-0.013439035,0.004886922
1130,1700133915264,0.021991149,-0.014660766,-0.028099801
1131,1700133915266,0.06352998,-0.035430185,-0.059864793
1132,1700133915267,-0.021991149,-0.037873644,-0.04520403
1133,1700133915286,-0.08552113,-0.036651913,-0.05009095
1134,1700133915299,-0.1600467,-0.02443461,-0.052534413
1135,1700133915318,-0.13927728,0.002443461,-0.02076942
1136,1700133915344,-0.059864793,0.04642576,0.018325957
1137,1700133915360,-0.02443461,0.056199603,0.04153884
1138,1700133915381,-0.013439035,0.06841691,0.06841691
1139,1700133915398,0.015882496,0.062308256,0.029321533
1140,1700133915420,0.021991149,0.05009095,0.081855945
1141,1700133915443,-0.004886922,0.034208454,0.047647487
1142,1700133915460,-0.04642576,0.0036651916,0.02443461
1143,1700133915478,-0.015882496,-0.004886922,-0.007330383
1144,1700133915497,-0.032986723,-0.036651913,-0.04886922
1145,1700133915521,-0.17470746,-0.119729586,-0.089186326
1146,1700133915543,-0.31398472,-0.12339478,-0.14049901
1147,1700133915561,-0.2883284,-0.14538592,-0.13805555
1148,1700133915579,-0.17592919,-0.10995574,-0.087964594
1149,1700133915598,-0.05131268,-0.035430185,-0.028099801
1150,1700133915621,-0.08552113,-0.05009095,-0.030543262
1151,1700133915643,-0.047647487,-0.036651913,-0.021991149
1152,1700133915662,-0.05375614,-0.02565634,-0.004886922
1153,1700133915678,-0.0842994,-0.014660766,-0.002443461
1154,1700133915708,-0.089186326,-0.009773844,-0.004886922
1155,1700133915727,-0.08307768,-0.008552114,-0.02565634
1156,1700133915745,-0.08552113,-0.010995574,-0.03176499
1157,1700133915762,-0.11728613,-0.012217305,-0.032986723
1158,1700133915779,-0.14538592,-0.02076942,-0.04642576
1159,1700133915804,-0.10629055,-0.02321288,-0.080634214
1160,1700133915829,-0.08307768,-0.07452556,-0.061086524
1161,1700133915843,-0.20647246,-0.12583824,-0.040317107
1162,1700133915861,-0.25411993,-0.18081611,-0.028099801
1163,1700133915878,-0.14660765,-0.24312437,-0.009773844
1164,1700133915899,-0.17348573,-0.30665436,0.04520403
1165,1700133915931,-0.30787608,-0.36651915,0.089186326
1166,1700133915944,-0.31520647,-0.3885103,0.07574729
1167,1700133915966,-0.22235495,-0.36774087,0.065973446
1168,1700133915981,-0.21502456,-0.3005457,0.04520403
1169,1700133915996,-0.20280726,-0.21502456,0.02321288
1170,1700133916017,-0.05131268,-0.1160644,-0.019547688
1171,1700133916039,0.08674286,-0.030543262,-0.042760566
1172,1700133916062,0.08674286,0.019547688,-0.04520403
1173,1700133916080,0.04520403,0.05375614,-0.036651913
1174,1700133916099,0.057421334,0.062308256,-0.017104227
1175,1700133916116,0.09162979,0.04642576,0.0012217305
1176,1700133916146,0.05131268,-0.009773844,0.05497787
1177,1700133916164,-0.09773844,-0.09407325,0.13927728
1178,1700133916181,-0.24190263,-0.21746802,0.24312437
1179,1700133916209,-0.40317106,-0.3921755,0.29932398
1180,1700133916216,-0.6377433,-0.52412236,0.31398472
1181,1700133916243,-1.0177015,-0.6426302,0.3726278
1182,1700133916262,-1.4049901,-0.77457714,0.47769663
1183,1700133916280,-1.8875736,-0.90041536,0.57543504
1184,1700133916297,-2.3090706,-1.0519099,0.66828656
1185,1700133916317,-2.7537806,-1.2547172,0.7819075
1186,1700133916337,-3.2632422,-1.4428637,0.9370673
1187,1700133916363,-3.739717,-1.5906931,1.1386528
1188,1700133916379,-4.05248,-1.7800614,1.3524556
1189,1700133916397,-4.157549,-1.9926424,1.5968018
1190,1700133916416,-4.1758747,-2.1282544,1.7458528
1191,1700133916438,-4.72321,-2.4581218,2.2052236
1192,1700133916462,-4.7036624,-2.4312437,2.2589796
1193,1700133916479,-4.5301766,-2.2589796,2.2919664
1194,1700133916496,-3.9510765,-2.175902,2.147802
1195,1700133916527,-3.0677652,-2.1368067,1.6517797
1196,1700133916545,-2.189341,-1.8826867,1.1533136
1197,1700133916563,-1.4587462,-1.7275269,0.7831292
1198,1700133916580,-0.7452556,-1.600467,0.13072516
1199,1700133916596,0.073303826,-1.8497,-0.45448375
1200,1700133916617,0.47525316,-2.0818288,-0.9505063
1201,1700133916641,0.4288274,-2.3603833,-1.391551
1202,1700133916662,0.44104472,-2.6816983,-1.613906
1203,1700133916680,0.47769663,-2.987131,-1.7886134
1204,1700133916696,0.5290093,-3.1716123,-1.7275269
1205,1700133916715,0.5558874,-3.2436945,-1.65911
1206,1700133916739,0.4813618,-3.2107077,-1.600467
1207,1700133916766,0.22968534,-3.0934217,-1.459968
1208,1700133916780,0.052534413,-2.7354546,-1.4770721
1209,1700133916800,0.15149458,-2.3469443,-1.3683381
1210,1700133916828,0.35796702,-2.0525072,-1.1129965
1211,1700133916844,0.23701571,-1.7018706,-0.8735373
1212,1700133916863,-0.4373795,-1.4746287,-0.5571091
1213,1700133916880,-1.5503759,-1.3903292,0.04886922
1214,1700133916897,-2.1453588,-1.1838568,0.8417723
1215,1700133916917,-2.2418754,-0.84788096,1.6982054
1216,1700133916948,-1.518611,-0.6084218,2.615725
1217,1700133916983,-0.46181414,-0.43493605,3.472158
1218,1700133916984,-0.6059783,-0.16249016,3.676187
1219,1700133916997,-1.4025466,-0.25167647,3.86189
1220,1700133917017,-2.175902,-0.73792523,3.6541958
1221,1700133917050,-2.792876,-1.073901,3.378085
1222,1700133917065,-2.4813347,-1.3072516,3.0079005
1223,1700133917080,-1.890017,-1.7214183,2.660929
1224,1700133917098,-1.4343116,-1.8668042,2.5460863
