gender,Male,height,165
count,timestamp,x,y,z
13225,1700300735235,0.02076942,-0.018325957,0.012217305
13226,1700300735277,-0.17348573,-0.030543262,0.017104227
13227,1700300735292,-0.26145032,-0.04886922,0.0061086523
13228,1700300735293,-0.20280726,-0.10140363,0.018325957
13229,1700300735311,-0.061086524,-0.14905111,0.02565634
13230,1700300735336,0.02687807,-0.17715092,0.042760566
13231,1700300735352,0.034208454,-0.19425514,0.05497787
13232,1700300735371,-0.02443461,-0.19914207,0.062308256
13233,1700300735392,-0.07574729,-0.1966986,0.081855945
13234,1700300735415,-0.103847094,-0.19425514,0.12950343
13235,1700300735437,-0.12095132,-0.22113322,0.24190263
13236,1700300735454,-0.17470746,-0.09407325,0.34330627
13237,1700300735472,-0.21624629,-0.15393804,0.3921755
13238,1700300735492,-0.20280726,-0.3933972,-0.18081611
13239,1700300735515,-0.36651915,-1.5454891,0.8723156
13240,1700300735539,-0.5546656,0.13683382,0.44715336
13241,1700300735557,-0.5119051,-0.23335053,0.49235737
13242,1700300735580,-0.20891592,-0.18448131,0.43249258
13243,1700300735591,-0.2602286,-0.14782938,0.52656585
13244,1700300735613,-0.5290093,-0.29077184,0.64751714
13245,1700300735637,-0.6401868,-0.267559,0.8381071
13246,1700300735654,-0.65484756,-0.35185838,0.9663888
13247,1700300735671,-1.0934488,-0.56321776,1.1044444
13248,1700300735707,-1.4831808,-0.50823987,1.2571607
13249,1700300735726,-1.3035865,-0.4129449,1.518611
13250,1700300735744,0.06963864,-0.3921755,1.4611896
13251,1700300735757,2.9712486,-0.4801401,0.829555
13252,1700300735773,5.9547143,-0.19425514,1.3988814
13253,1700300735791,3.9009855,0.8210029,2.058616
13254,1700300735823,-1.0005972,0.5571091,3.7287214
13255,1700300735837,-5.081177,-0.40194935,1.5735888
13256,1700300735853,-6.0573397,-0.88208944,0.82833326
13257,1700300735871,-3.4660494,-1.2791518,0.3200934
13258,1700300735902,-0.51923543,-0.9370673,-0.20525073
13259,1700300735921,0.41905355,-0.8002335,-0.68539083
13260,1700300735936,-1.0299188,-1.3206906,-0.7415904
13261,1700300735956,-1.5992452,-1.704314,-0.58276546
13262,1700300735972,-0.7244862,-1.1227703,-0.5852089
13263,1700300735991,-0.46670106,-0.72326446,-0.5742133
13264,1700300736016,-0.71593404,-0.5900958,-0.4642576
13265,1700300736039,-1.4575244,-0.3213151,-0.23335053
13266,1700300736056,-2.2699752,0.03176499,-0.111177474
13267,1700300736073,-2.2198844,0.5534439,0.22602014
13268,1700300736091,-2.3652701,1.0225884,0.29810223
13269,1700300736119,-2.485,1.2999213,0.35063666
13270,1700300736139,-2.4446826,1.3658947,0.55955255
13271,1700300736156,-1.9938642,1.3903292,1.0531317
13272,1700300736173,-1.2657127,1.2791518,1.3365731
13273,1700300736193,-0.71593404,0.7965683,1.6029104
13274,1700300736221,-0.72326446,0.36163223,1.6676621
13275,1700300736236,-0.5119051,-0.058643065,2.0830505
13276,1700300736258,-0.04886922,-0.37507126,2.8417451
13277,1700300736272,-0.3115413,-0.30176744,2.9883528
13278,1700300736290,-1.7629571,-1.7336355,3.2388074
13279,1700300736309,-3.4965928,-2.0781636,2.9651399
13280,1700300736333,-3.7555995,-2.172237,2.3970351
13281,1700300736355,-3.182608,-2.2858577,1.8497
13282,1700300736372,-2.5619688,-2.361605,1.6884315
13283,1700300736403,-2.1038198,-2.1746802,1.5992452
13284,1700300736408,-1.958434,-1.8777997,1.4245378
13285,1700300736441,-1.9034561,-1.8154916,1.142318
13286,1700300736458,-1.6151277,-1.7287487,0.7623598
13287,1700300736472,-1.1716396,-1.3158038,0.376293
13288,1700300736492,-0.7012733,-0.68661255,-0.28344148
13289,1700300736509,-0.4569272,0.0842994,-0.6059783
13290,1700300736538,0.080634214,0.5180137,-0.88086766
13291,1700300736554,0.5290093,0.7134906,-1.2144
13292,1700300736574,1.4147639,1.2681563,-1.1863003
13293,1700300736591,1.717753,1.8057177,-1.102001
13294,1700300736608,1.9083431,1.6578883,-1.0067059
13295,1700300736633,1.4147639,1.174083,-1.269378
13296,1700300736657,0.51068336,-0.095294975,-1.3903292
13297,1700300736674,-0.039095376,-0.058643065,-0.9077458
13298,1700300736691,-0.30176744,0.2125811,-0.61208695
13299,1700300736721,-1.2425,0.029321533,-0.13439035
13300,1700300736727,-1.8765781,-0.17715092,0.080634214
13301,1700300736750,-1.3952162,-0.29443705,0.03176499
13302,1700300736777,-0.26633725,-0.376293,0.6536258
13303,1700300736790,0.3408628,-0.54367006,1.2742649
13304,1700300736813,0.5045747,-0.73548174,1.8399261
13305,1700300736838,0.77824235,-0.69027776,2.2540927
13306,1700300736858,1.0983357,-0.45081854,3.281568
