gender,Female,height,160
count,timestamp,x,y,z
0,1700460428087,0.16759412,0.45250413,9.655815
1,1700460428087,0.5291186,0.6607997,9.485827
2,1700460428088,-0.5602432,0.2801216,9.507375
3,1700460428105,0.44532153,0.090979666,9.85214
4,1700460428122,-0.6679823,0.06943185,9.514558
5,1700460428142,-0.17477672,0.24420857,9.916783
6,1700460428164,-0.41180268,-0.2633622,10.024523
7,1700460428185,-0.23702596,0.20590134,9.737218
8,1700460428204,-0.17477672,0.29927522,9.636662
9,1700460428222,-0.40940848,-0.04309563,9.610326
10,1700460428241,-0.4357447,0.1436521,9.423578
11,1700460428264,-0.44771573,0.24420857,9.346964
12,1700460428287,-0.5363012,0.28491,9.320627
13,1700460428304,-0.21787235,0.37828386,9.421184
14,1700460428322,0.1364695,0.38307226,9.44752
15,1700460428341,0.35194764,0.2657564,9.208099
16,1700460428364,0.39743748,0.32321724,8.798691
17,1700460428388,0.110133275,0.050278235,8.810662
18,1700460428407,-0.1340753,-0.22744916,8.805874
19,1700460428428,-0.7661445,-0.4333505,8.463503
20,1700460428445,-1.079785,-0.260968,7.615956
21,1700460428469,-1.3551182,0.22266077,7.228095
22,1700460428492,-1.2545617,-0.2873042,7.1993647
23,1700460428510,-1.5346833,-1.3934253,7.326257
24,1700460428525,-1.7788919,-2.1140802,7.0221934
25,1700460428543,-1.8579005,-2.4516625,6.375759
26,1700460428573,-2.1404164,-3.040636,5.872977
27,1700460428591,-2.753332,-4.5872903,5.7963624
28,1700460428611,-3.2345665,-6.397307,5.78918
29,1700460428625,-3.7325604,-7.386112,5.583278
30,1700460428640,-3.5218706,-7.503428,5.2983685
31,1700460428661,-3.9097314,-9.490616,4.759673
32,1700460428690,-4.4580035,-10.931925,4.841076
33,1700460428706,-4.450821,-11.587936,4.4005427
34,1700460428723,-3.9456444,-10.7116585,4.1132383
35,1700460428743,-3.3303347,-10.8624935,3.5218706
36,1700460428772,-4.201824,-13.268666,3.3207579
37,1700460428790,-4.656722,-12.880805,3.6870706
38,1700460428809,-3.9384618,-11.415554,3.071761
39,1700460428826,-3.9935284,-11.384429,1.8195933
40,1700460428840,-4.453215,-12.476185,0.7493851
41,1700460428862,-4.307169,-12.524069,0.3854665
42,1700460428882,-3.7205894,-11.109096,-0.21547815
43,1700460428907,-3.0095115,-9.763555,-1.0103531
44,1700460428925,-2.7006595,-9.49301,-0.4429273
45,1700460428940,-2.6384103,-10.041282,0.39504328
46,1700460428966,-2.6910827,-10.350134,1.0534488
47,1700460428989,-2.8395233,-9.935937,1.0031705
48,1700460429006,-3.0885203,-9.569624,0.62488663
49,1700460429023,-3.5003228,-9.212888,0.830788
50,1700460429042,-3.928885,-8.810662,1.4173675
51,1700460429065,-4.7788267,-8.298303,1.9033904
52,1700460429089,-6.1243677,-7.6111674,2.3558946
53,1700460429109,-7.00304,-6.9264255,2.147599
54,1700460429123,-8.166622,-6.093243,1.9800048
55,1700460429144,-9.3733,-5.6407394,2.4181437
56,1700460429164,-9.011775,-5.0062757,2.6791117
57,1700460429180,-9.220071,-4.5681367,2.753332
2790,1700460486716,-12.583924,-18.169598,3.071761
2791,1700460486737,-11.98298,-14.707581,2.2122424
2792,1700460486756,-11.812991,-9.533711,1.0893618
2793,1700460486777,-11.628637,-6.3685765,0.89782566
2794,1700460486806,-10.141838,-5.159505,-0.035913024
2795,1700460486817,-9.552865,-2.5785553,-1.1755531
2796,1700460486833,-9.167398,-1.2617443,-2.1332338
2797,1700460486854,-8.611943,0.4309563,-2.516306
2798,1700460486873,-6.4978633,1.5227122,-2.3702598
2799,1700460486894,-6.775591,2.0590134,-2.2601264
2800,1700460486914,-7.503428,1.5705963,-2.3247697
2801,1700460486935,-8.101978,1.5562311,-1.553837
2802,1700460486957,-10.170568,-0.16998832,2.183512
2803,1700460486981,-10.479421,-4.831499,-0.15562311
2804,1700460487003,-10.371682,-11.303026,2.8898015
2805,1700460487013,-21.375433,-21.37304,6.4499793
2806,1700460487033,-19.716251,-29.149406,9.050082
2807,1700460487062,-13.8720045,-18.873491,8.204929
2808,1700460487079,-6.4164605,-10.94629,5.303157
2809,1700460487095,-4.5441947,-8.384495,6.3781533
2810,1700460487172,-4.2042184,-8.231265,7.57286
2811,1700460487213,-2.882619,-8.030152,7.0820484
2812,1700460487217,-1.1468226,-7.3645644,5.628768
2813,1700460487228,0.02633622,-7.575254,4.771644
2814,1700460487229,0.49320555,-8.576031,4.2880154
2815,1700460487230,0.90979666,-8.152257,4.0773253
2816,1700460487232,1.8052281,-8.76996,4.39336
2817,1700460487259,3.3039982,-10.685322,4.5058875
2818,1700460487274,4.9943047,-10.812215,3.6942532
2819,1700460487293,6.6103907,-10.06283,2.552219
2820,1700460487314,7.503428,-10.177752,1.5825673
2821,1700460487333,8.169016,-10.524911,-0.320823
2822,1700460487354,9.646238,-11.767501,-0.12210429
2823,1700460487374,8.554482,-17.238253,1.1420342
2824,1700460487393,7.9391727,-20.63802,2.1140802
2825,1700460487413,8.001422,-20.300436,2.6479871
2826,1700460487434,2.243367,-22.852655,2.7844565
2827,1700460487452,1.0390835,-23.877373,4.357447
2828,1700460487472,-0.21068975,-22.019472,5.961562
2829,1700460487492,0.33758244,-22.412123,6.4787097
2830,1700460487512,-2.327164,-19.17995,6.895301
2831,1700460487531,-4.6902413,-15.617377,8.317456
2832,1700460487561,-5.901707,-13.493721,10.795456
2833,1700460487571,-6.0501475,-10.0987425,12.363658
2834,1700460487592,-5.547365,-8.252813,12.332533
2835,1700460487612,-5.741296,-6.1243677,12.325351
2836,1700460487631,-5.851429,-2.6719291,12.061988
2837,1700460487651,-4.7907977,0.10055647,11.494562
2838,1700460487672,-4.7740383,0.06703765,12.969391
2839,1700460487696,-4.7524905,-0.9552865,13.721169
2840,1700460487711,-2.5594015,-1.1731589,10.905589
2841,1700460487737,-1.4796166,0.37349546,4.6351743
2842,1700460487758,1.2880806,1.484405,2.6408045
2843,1700460487774,2.1811178,0.2681506,1.460463
2844,1700460488439,4.4196963,-2.6982653,2.6408045
2845,1700460488442,3.3423057,-6.7851677,4.9224787
2846,1700460488442,6.7133417,-7.929596,5.925649
2847,1700460488443,9.483433,-6.5218053,5.875371
2848,1700460488443,7.8529816,-4.1419687,5.57849
2849,1700460488637,6.9407907,-5.657499,5.6646814
2850,1700460488637,7.6734166,-7.7332716,5.779603
2851,1700460488656,6.3182983,-5.0876784,3.359065
2852,1700460488671,6.2871737,-5.023035,2.3798366
2853,1700460488671,4.268862,-11.789049,6.5026517
2854,1700460488672,1.316811,-11.549629,9.16261
2855,1700460488672,0.35434186,-5.592855,6.181829
2856,1700460488673,4.3143516,-3.7086184,6.0118403
