gender,Male,height,170
count,timestamp,x,y,z
0,1699720183749,-0.19792034,-0.19792034,0.10629055
1,1699720183911,0.14782938,0.14782938,0.172264
2,1699720184072,1.5418239,1.5418239,0.23945917
3,1699720184232,4.269948,4.269948,1.1142182
4,1699720184398,-2.140472,-2.140472,-1.921782
5,1699720184559,-2.3726006,-2.3726006,-4.8038445
6,1699720184716,6.8209214,6.8209214,5.6651645
7,1699720184877,2.0769417,2.0769417,1.7324139
8,1699720185040,-4.097684,-4.097684,-1.9669861
9,1699720185195,-5.507561,-5.507561,-3.789808
27,1699720188080,-0.35796702,-0.35796702,0.3115413
28,1699720188241,-0.43860126,-0.43860126,0.05009095
29,1699720188403,-0.15882497,-0.15882497,-0.06841691
30,1699720188565,0.15515977,0.15515977,-0.034208454
31,1699720188725,0.09773844,0.09773844,0.07086037
32,1699720188885,0.0036651916,0.0036651916,0.40194935
33,1699720189044,-0.112399206,-0.112399206,0.057421334
34,1699720189206,-0.0842994,-0.0842994,0.057421334
35,1699720189364,-0.039095376,-0.039095376,0.010995574
36,1699720189533,-0.040317107,-0.040317107,-0.064751714
37,1699720189692,-0.040317107,-0.040317107,-0.06719518
38,1699720189847,-0.007330383,-0.007330383,-0.04520403
39,1699720190007,-0.13683382,-0.13683382,-0.0061086523
40,1699720190167,-0.028099801,-0.028099801,-0.052534413
41,1699720190328,-0.0036651916,-0.0036651916,-0.030543262
42,1699720190489,0.02565634,0.02565634,-0.039095376
43,1699720190650,0.0036651916,0.0036651916,-0.015882496
44,1699720190811,-0.095294975,-0.095294975,0.028099801
45,1699720190972,-0.004886922,-0.004886922,0.002443461
46,1699720191129,0.002443461,0.002443461,0.05009095
47,1699720191290,-0.013439035,-0.013439035,0.0061086523
48,1699720191452,0.007330383,0.007330383,-0.021991149
49,1699720191612,-0.017104227,-0.017104227,-0.02443461
50,1699720191774,0.0036651916,0.0036651916,0.0
51,1699720191933,-0.064751714,-0.064751714,0.0
52,1699720192092,0.039095376,0.039095376,-0.010995574
53,1699720192255,-0.008552114,-0.008552114,0.065973446
54,1699720192415,-0.0036651916,-0.0036651916,0.02076942
55,1699720192576,0.0061086523,0.0061086523,-0.02321288
56,1699720192742,0.0012217305,0.0012217305,0.0
57,1699720192903,0.02687807,0.02687807,0.028099801
58,1699720193063,0.02076942,0.02076942,-0.012217305
59,1699720193224,0.032986723,0.032986723,-0.004886922
60,1699720193383,0.013439035,0.013439035,-0.021991149
61,1699720193542,0.05131268,0.05131268,-0.042760566
62,1699720193705,-0.059864793,-0.059864793,-0.11484267
63,1699720193860,-0.037873644,-0.037873644,-0.14172074
64,1699720194020,-0.02565634,-0.02565634,-0.118507855
65,1699720194180,-0.058643065,-0.058643065,-0.118507855
66,1699720194343,0.11728613,0.11728613,0.05131268
67,1699720194501,-0.12461651,-0.12461651,-0.103847094
68,1699720194662,-0.014660766,-0.014660766,0.09162979
69,1699720194824,0.010995574,0.010995574,0.096516706
70,1699720194982,0.004886922,0.004886922,0.25900686
71,1699720195145,-0.028099801,-0.028099801,-0.0720821
72,1699720195305,-0.064751714,-0.064751714,-0.062308256
73,1699720195465,0.2602286,0.2602286,-0.018325957
74,1699720195627,-0.08552113,-0.08552113,-0.009773844
75,1699720195785,-0.05009095,-0.05009095,0.002443461
76,1699720195945,0.14294247,0.14294247,-0.02076942
517,1699720549550,-0.0012217305,-0.0012217305,-0.0036651916
518,1699720549663,0.004886922,0.004886922,-0.04153884
519,1699720549822,0.002443461,0.002443461,-0.11728613
520,1699720549988,0.0012217305,0.0012217305,-0.04153884
521,1699720550150,-0.0842994,-0.0842994,0.46914452
522,1699720550307,0.036651913,0.036651913,-0.32986724
523,1699720550472,-0.056199603,-0.056199603,-0.6743952
524,1699720550632,0.10262536,0.10262536,0.77824235
525,1699720550792,-0.15515977,-0.15515977,-0.6817256
526,1699720550953,0.061086524,0.061086524,0.1282817
527,1699720551112,-0.06963864,-0.06963864,0.15393804
528,1699720551276,-0.16737708,-0.16737708,-0.42394048
529,1699720551433,0.15515977,0.15515977,0.49480084
530,1699720551598,-0.16249016,-0.16249016,-0.2773328
531,1699720551754,-0.28099802,-0.28099802,-0.12705997
532,1699720551915,0.05375614,0.05375614,-0.0012217305
533,1699720552076,0.19792034,0.19792034,0.095294975
534,1699720552236,-0.10629055,-0.10629055,-0.02565634
535,1699720552396,0.9456194,0.9456194,0.21013765
536,1699720552558,-0.061086524,-0.061086524,0.6817256
537,1699720552720,-0.3885103,-0.3885103,0.73914695
538,1699720552882,-0.21135938,-0.21135938,0.12217305
539,1699720553042,-0.07696902,-0.07696902,-0.03176499
540,1699720553199,-0.028099801,-0.028099801,-0.0036651916
541,1699720553360,-0.039095376,-0.039095376,0.004886922
542,1699720553521,-0.018325957,-0.018325957,-0.019547688
543,1699720553682,-0.008552114,-0.008552114,0.009773844
544,1699720553843,-0.02321288,-0.02321288,0.0
545,1699720554001,-0.0061086523,-0.0061086523,-0.0036651916
546,1699720554164,-0.0061086523,-0.0061086523,-0.0036651916
547,1699720554323,-0.013439035,-0.013439035,-0.015882496
548,1699720554486,0.014660766,0.014660766,-0.052534413
549,1699720554646,-0.021991149,-0.021991149,0.03176499
550,1699720554807,-0.0012217305,-0.0012217305,-0.010995574
551,1699720554967,-0.008552114,-0.008552114,0.013439035
552,1699720555126,0.0,0.0,0.002443461
553,1699720555289,-0.013439035,-0.013439035,-0.004886922
554,1699720555450,-0.007330383,-0.007330383,-0.0061086523
555,1699720555607,0.0012217305,0.0012217305,0.0012217305
556,1699720555770,-0.010995574,-0.010995574,-0.0061086523
557,1699720555931,-0.004886922,-0.004886922,0.007330383
558,1699720556090,-0.004886922,-0.004886922,0.002443461
559,1699720556249,0.0036651916,0.0036651916,-0.009773844
560,1699720556414,0.059864793,0.059864793,1.1337659
561,1699720556570,-0.09407325,-0.09407325,-3.154508
562,1699720556734,-0.7318166,-0.7318166,0.64751714
563,1699720556894,0.49235737,0.49235737,1.4966198
564,1699720557054,0.3811799,0.3811799,-0.57910025
565,1699720557215,-0.040317107,-0.040317107,0.19547687
566,1699720557372,-0.014660766,-0.014660766,0.0012217305
567,1699720557535,-0.081855945,-0.081855945,0.052534413
568,1699720557698,-0.032986723,-0.032986723,2.2235496
569,1699720557854,-0.26267207,-0.26267207,-0.3481932
570,1699720558017,-0.0012217305,-0.0012217305,-0.019547688
571,1699720558175,0.09407325,0.09407325,0.5546656
572,1699720558337,-0.18570304,-0.18570304,-1.0555751
573,1699720558498,-0.013439035,-0.013439035,1.4990633
574,1699720558658,0.008552114,0.008552114,-2.149024
575,1699720558818,0.064751714,0.064751714,1.459968
576,1699720558978,-0.20158553,-0.20158553,-1.7605137
577,1699720559141,-0.012217305,-0.012217305,1.2986995
578,1699720559303,-0.012217305,-0.012217305,-0.8246681
579,1699720559460,0.21013765,0.21013765,0.10140363
580,1699720559620,0.0,0.0,-0.26267207
581,1699720559781,0.032986723,0.032986723,0.062308256
582,1699720559943,-0.04520403,-0.04520403,-0.02076942
583,1699720560103,-0.032986723,-0.032986723,0.02687807
584,1699720560262,-0.02687807,-0.02687807,0.03176499
585,1699720560426,-0.013439035,-0.013439035,0.02076942
586,1699720560587,-0.032986723,-0.032986723,0.043982297
587,1699720560747,0.018325957,0.018325957,-0.0012217305
588,1699720560908,-0.028099801,-0.028099801,0.0036651916
589,1699720561062,-0.0012217305,-0.0012217305,-0.0061086523
590,1699720561231,0.018325957,0.018325957,0.0061086523
591,1699720561388,-0.007330383,-0.007330383,-0.012217305
592,1699720561550,0.002443461,0.002443461,0.013439035
593,1699720561710,-0.012217305,-0.012217305,-0.004886922
594,1699720561871,-0.0036651916,-0.0036651916,0.0061086523
595,1699720562029,-0.010995574,-0.010995574,0.02443461
596,1699720562190,-0.002443461,-0.002443461,-0.02443461
