gender,Male,height,172
count,timestamp,x,y,z
0,1699869318045,0.7541735,0.7541735,10.105926
1,1699869318093,0.39983168,0.39983168,10.900801
2,1699869318094,0.34237084,0.34237084,10.43872
3,1699869318100,0.5793968,0.5793968,10.158598
4,1699869318118,0.51475334,0.51475334,9.947908
5,1699869318140,0.25139117,0.25139117,9.842564
6,1699869318159,0.60573304,0.60573304,9.330204
7,1699869318180,0.7182605,0.7182605,9.308656
8,1699869318201,0.4381389,0.4381389,9.940725
9,1699869318219,0.50038815,0.50038815,10.163386
10,1699869318239,0.80684596,0.80684596,9.835381
11,1699869318260,1.2378023,1.2378023,9.8042555
12,1699869318280,1.5825673,1.5825673,9.739613
13,1699869318301,1.8579005,1.8579005,9.598354
14,1699869318319,2.054225,2.054225,9.370906
15,1699869318339,2.2720973,2.2720973,9.148245
16,1699869318359,2.5450363,2.5450363,9.196129
17,1699869318380,2.2002714,2.2002714,10.01734
18,1699869318401,1.910573,1.910573,10.400413
19,1699869318422,2.0087352,2.0087352,10.381259
20,1699869318438,2.018312,2.018312,10.326192
21,1699869318461,1.8770541,1.8770541,10.728417
22,1699869318480,1.757344,1.757344,10.888829
23,1699869318502,1.9081788,1.9081788,10.656591
24,1699869318529,2.0087352,2.0087352,10.263943
25,1699869318539,1.8579005,1.8579005,10.012551
26,1699869318559,1.8579005,1.8579005,9.514558
27,1699869318580,1.8890251,1.8890251,8.599973
28,1699869318601,1.4556746,1.4556746,7.8170686
29,1699869318620,0.21068975,0.21068975,7.28795
30,1699869318638,-1.0989386,-1.0989386,5.9424086
31,1699869318661,-0.25857377,-0.25857377,2.633622
32,1699869318680,-2.4947581,-2.4947581,0.22026655
33,1699869318700,-5.8226986,-5.8226986,-2.348712
34,1699869318718,-3.2920272,-3.2920272,-1.7836803
35,1699869318739,-3.3877954,-3.3877954,-2.9041667
36,1699869318759,-7.551312,-7.551312,-2.3295584
