gender,Female,height,155
count,timestamp,x,y,z
8181,1700134315316,-4.249708,2.5713725,8.391677
8182,1700134315377,-4.096479,2.7102363,8.274361
8183,1700134315378,-4.417302,1.9919758,8.762778
8184,1700134315378,-4.474763,1.9488802,8.834604
8185,1700134315397,-4.27365,2.111686,8.626308
8186,1700134315405,-4.2185836,2.3127987,8.468291
8187,1700134315427,-4.271256,2.147599,8.468291
8188,1700134315452,-4.2999864,1.9273324,8.588001
8189,1700134315469,-4.197036,2.0973208,8.470686
8190,1700134315487,-4.2185836,2.2361844,8.513782
8191,1700134315505,-4.3119574,2.1188686,8.535329
8192,1700134315535,-4.3239284,2.087744,8.485051
8193,1700134315553,-4.292804,2.078167,8.516175
8194,1700134315570,-4.3143516,2.135628,8.51857
8195,1700134315586,-4.3358994,2.1092918,8.506598
8196,1700134315605,-4.232949,2.1332338,8.559271
8197,1700134315634,-4.31914,2.066196,8.542512
8198,1700134315651,-4.3119574,2.1260512,8.520964
8199,1700134315670,-4.209007,2.1619642,8.47308
8200,1700134315687,-4.185065,2.2026656,8.523358
8201,1700134315704,-4.285621,2.0853498,8.532935
8202,1700134315728,-4.295198,2.1140802,8.590396
8203,1700134315752,-4.249708,2.042254,8.556877
8204,1700134315769,-4.256891,2.030283,8.626308
8205,1700134315786,-4.19943,2.0949266,8.590396
8206,1700134315804,-4.084508,2.0278888,8.631097
8207,1700134315825,-3.9743748,2.1284454,8.686164
8208,1700134315851,-3.8115692,2.0901382,8.62152
8209,1700134315869,-3.8187518,2.1523874,8.698134
8210,1700134315886,-3.6535518,2.0973208,8.810662
8211,1700134315904,-3.6942532,2.0566192,8.875306
8212,1700134315925,-3.727772,2.1883004,8.678981
8213,1700134315951,-3.5769374,2.171541,8.789114
8214,1700134315969,-3.5242648,1.9560628,8.892065
8215,1700134315987,-3.5936968,1.6328455,8.901642
8216,1700134316006,-3.5889084,1.6112977,8.9279785
8217,1700134316024,-3.550601,1.5729905,8.968679
8218,1700134316045,-3.5889084,1.6136919,9.0476885
8219,1700134316069,-3.632004,1.4580688,9.059659
8220,1700134316086,-3.4380736,1.271321,8.798691
8221,1700134316103,-3.4835634,1.4652514,9.165004
8222,1700134316124,-3.5529952,1.7142484,9.409213
8223,1700134316147,-3.6415808,1.2234371,9.404425
8224,1700134316169,-3.323152,1.0893618,9.332599
8225,1700134316186,-2.885013,1.127669,9.378088
8226,1700134316204,-3.145981,0.7757214,9.452309
8227,1700134316224,-3.4452562,1.376666,9.689334
8228,1700134316245,-2.992752,1.2521675,9.560047
8229,1700134316269,-2.89459,0.9552865,9.7803135
8230,1700134316286,-2.956839,0.90261406,9.813833
8231,1700134316303,-2.9376855,0.6488287,9.9790325
8232,1700134316324,-2.9831753,0.8858546,10.012551
8233,1700134316345,-2.5474305,0.7206547,9.715671
8234,1700134316371,-2.3104045,0.40940848,9.938332
8235,1700134316388,-2.56419,0.39504328,10.0987425
8236,1700134316404,-2.585738,1.0845734,10.129868
8237,1700134316423,-2.3822308,0.9888053,10.110714
8238,1700134316443,-2.2218192,0.89543146,10.108319
8239,1700134316471,-2.123657,1.3503298,10.081984
8240,1700134316489,-1.9536686,1.685518,9.6845455
8241,1700134316506,-1.7381904,1.6472107,9.332599
8242,1700134316525,-1.5298948,1.4652514,8.722076
8243,1700134316547,-0.5674258,0.770933,7.807492
8244,1700134316572,-0.016759412,0.038307227,7.9607205
8245,1700134316590,-0.6943185,-0.90500826,7.8505874
8246,1700134316606,-0.94570965,-1.5562311,7.089231
8247,1700134316625,-0.49559975,-2.0949266,6.8929067
8248,1700134316642,-0.90021986,-2.3582888,7.410054
8249,1700134316663,-2.0111294,-2.5833437,7.3430166
8250,1700134316689,-2.5761611,-3.0813377,6.7827735
8251,1700134316706,-2.5689783,-3.0621839,6.117185
8252,1700134316723,-2.956839,-2.7748797,5.8945246
8253,1700134316742,-4.0821137,-3.5553896,6.0166287
8254,1700134316763,-5.056554,-4.6806645,5.650316
8255,1700134316788,-5.1810527,-5.2002063,5.245696
8256,1700134316806,-5.461174,-4.4460325,4.972757
8257,1700134316823,-6.50744,-4.1802764,5.1786585
8258,1700134316842,-7.711724,-4.572925,5.379771
8259,1700134316869,-8.504205,-4.6160207,5.473145
8260,1700134316889,-9.617508,-4.134786,4.7644615
8261,1700134316905,-10.740389,-4.3406878,4.747702
8262,1700134316923,-11.568783,-5.729325,4.831499
8263,1700134316942,-11.86327,-6.6534867,5.884948
8264,1700134316970,-12.10269,-7.630321,5.815516
8265,1700134316988,-12.816162,-9.742006,4.8841715
8266,1700134317007,-13.596671,-12.287044,4.7524905
8267,1700134317023,-13.9917145,-14.86081,5.0374002
8268,1700134317041,-14.05157,-17.010803,5.8562174
8269,1700134317064,-13.005303,-16.879122,6.0621185
8270,1700134317087,-10.060435,-17.278954,4.76925
8271,1700134317104,-7.369353,-17.961302,5.2983685
8272,1700134317122,-5.681441,-15.35641,5.865794
8273,1700134317141,-3.4380736,-13.883976,4.865018
8274,1700134317163,-1.0055647,-13.615825,5.08289
8275,1700134317188,0.37110126,-13.223176,5.2983685
8276,1700134317207,2.1021092,-11.003751,3.9791632
8277,1700134317226,4.8937483,-9.076419,1.6663644
8278,1700134317246,8.59279,-8.535329,0.39025488
8279,1700134317265,10.903194,-10.024523,0.9576807
8280,1700134317288,10.453085,-10.314221,1.9560628
8281,1700134317307,10.019734,-10.9582615,1.103727
8282,1700134317325,9.428367,-11.116279,0.2705448
8283,1700134317342,7.505822,-10.280702,0.39264908
8284,1700134317361,5.329493,-11.274296,0.8523358
8285,1700134317390,4.6471453,-13.524845,2.1643584
8286,1700134317408,4.618415,-16.321274,4.0318356
8287,1700134317426,3.6415808,-23.673866,5.159505
8288,1700134317443,-1.1851299,-34.04076,7.45315
8289,1700134317461,-8.209718,-44.390892,7.524976
8290,1700134317490,-13.27106,-46.763546,6.179435
8291,1700134317506,-14.398729,-38.381447,5.403713
8292,1700134317522,-11.417948,-30.277075,6.126762
8293,1700134317540,-10.386047,-23.724144,4.249708
8294,1700134317560,-10.84334,-15.921441,2.5330653
8295,1700134317581,-10.3932295,-8.949526,0.521936
8296,1700134317605,-8.892065,-3.5218706,-1.7956513
8297,1700134317623,-9.703699,0.90021986,-3.8762126
8298,1700134317640,-12.217611,4.7165775,-4.9679685
8299,1700134317660,-12.8209505,6.4284315,-6.825869
8300,1700134317681,-14.188039,7.16824,-10.251971
8301,1700134317705,-16.651672,7.668628,-11.700463
8302,1700134317722,-12.978968,6.4308257,-8.949526
8303,1700134317748,-14.056358,5.9543796,-7.615956
8304,1700134317760,-15.868769,4.0318356,-6.5625067
8305,1700134317783,-17.922995,1.7788919,-5.8681884
8306,1700134317806,-20.384233,-0.2633622,-4.189853
8307,1700134317821,-21.976377,-2.5210943,-3.1364043
8308,1700134317840,-26.491842,-10.912771,-1.1875241
8309,1700134317860,-46.425964,-38.76452,0.16280572
8310,1700134317893,-43.509827,-54.049103,5.303157
8311,1700134317906,-28.376078,-55.832783,7.264008
8312,1700134317921,-26.345795,-49.78503,8.525752
8313,1700134317941,-18.318037,-34.514812,3.4380736
8314,1700134317960,-11.68131,-27.890055,1.1827357
8315,1700134317987,-6.991069,-25.244463,3.5051112
8316,1700134318006,-3.2848446,-23.127989,2.669535
8317,1700134318023,1.7118542,-18.579004,-0.9816227
8318,1700134318041,7.7907324,-12.3038025,-2.9999347
8319,1700134318059,13.611036,-7.4842744,-3.6607344
8320,1700134318082,16.077065,-6.859388,-4.9895163
8321,1700134318106,20.767305,-7.285556,-5.3247046
8322,1700134318123,24.293964,-7.905654,-4.331111
8323,1700134318141,18.921375,-8.197746,-3.3662477
8324,1700134318159,14.920665,-8.956709,-2.4181437
8325,1700134318183,13.132196,-10.326192,-1.0247183
8326,1700134318202,9.325416,-12.808979,-0.21308395
8327,1700134318755,5.877765,-15.919047,-0.5363012
8328,1700134318756,3.25372,-18.777723,-0.51954174
8329,1700134318757,-0.33039984,-23.283611,1.7310078
8330,1700134318758,-6.1411276,-33.327286,0.06464344
8331,1700134318758,-12.310986,-42.118797,-0.08379706
8332,1700134318759,-17.125725,-43.100418,-2.1691468
8333,1700134318759,-17.630901,-40.268078,-2.89459
8334,1700134318759,-19.464859,-40.19386,1.0989386
8335,1700134318760,-18.071434,-33.59065,-1.0295067
8336,1700134318760,-13.6493435,-21.155167,-2.9041667
8337,1700134318792,-10.8385515,-13.125013,-2.777274
8338,1700134318797,-10.517728,-8.901642,-2.3463178
8339,1700134318798,-11.640609,-6.847417,-1.6927006
8340,1700134318799,-9.911995,-4.7429137,-1.8531121
8341,1700134318800,-6.9264255,-2.6791117,-3.0693667
8342,1700134318801,-8.039729,-0.7517793,-4.972757
8343,1700134318801,-12.665327,0.35434186,-5.2169657
8344,1700134318802,-14.808138,2.1045034,-4.5298295
8345,1700134318802,-12.136209,3.4763808,-5.803545
8346,1700134318802,-10.96305,3.845088,-7.443573
8347,1700134318803,-12.344504,4.644751,-6.528988
8348,1700134318803,-14.226347,4.369418,-5.1259856
8349,1700134318804,-14.444219,3.2848446,-3.3854012
8350,1700134318804,-13.342886,1.6304513,-1.13964
8351,1700134318805,-14.020445,-1.0582372,0.035913024
8352,1700134318812,-16.27339,-8.628703,-0.011971008
8353,1700134318813,-25.79034,-29.044062,-2.0638018
8354,1700134318814,-46.73003,-48.631023,12.107478
8355,1700134318815,-28.649017,-62.495846,0.94331545
8356,1700134318815,-10.328587,-51.513645,2.8562827
8357,1700134318826,-10.055647,-42.056545,3.9001546
8358,1700134318844,-9.828198,-31.713596,1.4820108
8359,1700134318889,-6.1985884,-23.51106,-1.7429788
8360,1700134318890,-2.5067291,-16.625336,-3.0669725
8361,1700134318908,1.7597382,-12.5264635,-4.2784386
8362,1700134318918,4.31914,-9.224859,-6.495469
8363,1700134318941,6.885724,-6.325481,-8.659827
8364,1700134318957,9.722853,-4.321534,-9.131485
8365,1700134318979,11.183316,-4.9200845,-10.30225
8366,1700134318997,13.12262,-6.4858923,-10.089166
8367,1700134319018,14.322115,-6.7133417,-9.9550905
8368,1700134319037,14.872781,-6.591237,-9.888053
8369,1700134319057,12.504915,-8.748413,-10.78109
8370,1700134319079,11.353305,-11.530476,-8.916007
